# {"t_start": 1587276921.047852, "env_id": "CartPole-v0"} 
r,l,t
18.0,18,1.029016
47.0,47,1.124942
16.0,16,1.140922
12.0,12,1.152393
36.0,36,1.191165
27.0,27,1.214696
15.0,15,1.230144
13.0,13,1.240873
21.0,21,1.260775
18.0,18,1.275311
19.0,19,1.292952
14.0,14,1.3037
21.0,21,1.321908
34.0,34,1.349276
12.0,12,1.360011
10.0,10,1.36699
15.0,15,1.37748
9.0,9,1.386104
24.0,24,1.402531
17.0,17,1.416347
16.0,16,1.427389
12.0,12,1.437803
11.0,11,1.445581
22.0,22,1.463423
56.0,56,1.507462
23.0,23,1.524699
26.0,26,1.54531
13.0,13,1.556655
24.0,24,1.573649
22.0,22,1.591447
12.0,12,1.600063
18.0,18,1.615166
24.0,24,1.63447
25.0,25,1.652609
27.0,27,1.674093
18.0,18,1.689104
20.0,20,1.703406
21.0,21,1.720561
30.0,30,1.743953
19.0,19,1.759487
55.0,55,1.800411
50.0,50,1.840375
17.0,17,1.852595
17.0,17,1.866826
28.0,28,1.888353
25.0,25,1.908012
24.0,24,1.924873
15.0,15,1.937442
18.0,18,1.949935
18.0,18,1.964534
13.0,13,1.973539
32.0,32,1.997467
24.0,24,2.015835
15.0,15,2.0279
36.0,36,2.065791
19.0,19,2.082574
12.0,12,2.095737
42.0,42,2.135242
15.0,15,2.148656
13.0,13,2.162897
21.0,21,2.183855
39.0,39,2.215902
11.0,11,2.224035
15.0,15,2.237333
10.0,10,2.244635
11.0,11,2.252516
14.0,14,2.264663
16.0,16,2.275898
15.0,15,2.288538
40.0,40,2.31859
13.0,13,2.32774
16.0,16,2.341465
14.0,14,2.351496
29.0,29,2.374537
45.0,45,2.411581
21.0,21,2.426887
34.0,34,2.453896
12.0,12,2.465106
32.0,32,2.490488
25.0,25,2.508727
28.0,28,2.531714
65.0,65,2.58346
41.0,41,2.616408
31.0,31,2.640478
12.0,12,2.6491
31.0,31,2.672971
15.0,15,2.683485
17.0,17,2.697654
23.0,23,2.715767
31.0,31,2.739364
22.0,22,2.754641
14.0,14,2.766695
16.0,16,2.777771
24.0,24,2.796602
14.0,14,2.806656
32.0,32,2.831455
18.0,18,2.8461
38.0,38,2.873886
17.0,17,2.8876
12.0,12,2.895714
18.0,18,2.911919
28.0,28,2.933814
14.0,14,2.943373
13.0,13,2.952083
31.0,31,2.975263
44.0,44,3.009826
18.0,18,3.022693
28.0,28,3.044041
23.0,23,3.062356
24.0,24,3.081242
9.0,9,3.087784
12.0,12,3.096133
11.0,11,3.105979
25.0,25,3.123476
17.0,17,3.137574
29.0,29,3.159996
17.0,17,3.171727
17.0,17,3.185886
14.0,14,3.195473
13.0,13,3.206526
31.0,31,3.23005
22.0,22,3.245085
20.0,20,3.261048
27.0,27,3.281801
29.0,29,3.303577
76.0,76,3.359647
13.0,13,3.37081
35.0,35,3.397016
18.0,18,3.409246
15.0,15,3.422455
30.0,30,3.444548
23.0,23,3.459848
13.0,13,3.470932
10.0,10,3.477664
19.0,19,3.492447
10.0,10,3.499193
17.0,17,3.512001
27.0,27,3.532363
14.0,14,3.544087
36.0,36,3.57046
23.0,23,3.588157
22.0,22,3.603137
14.0,14,3.615418
19.0,19,3.628304
23.0,23,3.645738
48.0,48,3.682491
14.0,14,3.691971
17.0,17,3.70536
14.0,14,3.714993
10.0,10,3.721877
24.0,24,3.740532
16.0,16,3.753655
39.0,39,3.78211
31.0,31,3.812183
12.0,12,3.823107
24.0,24,3.847572
21.0,21,3.865612
11.0,11,3.877464
47.0,47,3.918045
21.0,21,3.936971
26.0,26,3.95939
20.0,20,3.974499
10.0,10,3.984464
14.0,14,3.994804
17.0,17,4.00951
27.0,27,4.031136
16.0,16,4.042439
20.0,20,4.058527
11.0,11,4.066193
16.0,16,4.077456
33.0,33,4.104588
21.0,21,4.119026
13.0,13,4.130075
15.0,15,4.140316
53.0,53,4.181465
11.0,11,4.189436
15.0,15,4.202453
22.0,22,4.217561
27.0,27,4.238296
22.0,22,4.255555
16.0,16,4.266499
37.0,37,4.293828
23.0,23,4.311685
15.0,15,4.32402
32.0,32,4.348064
13.0,13,4.356995
15.0,15,4.367203
11.0,11,4.376803
16.0,16,4.387715
16.0,16,4.400732
13.0,13,4.409582
16.0,16,4.422666
15.0,15,4.432819
54.0,54,4.474549
10.0,10,4.481326
32.0,32,4.514391
12.0,12,4.529541
16.0,16,4.540785
27.0,27,4.561703
45.0,45,4.59533
27.0,27,4.620147
31.0,31,4.649637
24.0,24,4.672117
20.0,20,4.688366
10.0,10,4.698899
27.0,27,4.723324
18.0,18,4.737074
10.0,10,4.746985
27.0,27,4.76703
16.0,16,4.780824
32.0,32,4.805636
26.0,26,4.825907
10.0,10,4.832838
20.0,20,4.8487
16.0,16,4.859885
30.0,30,4.881965
39.0,39,4.911897
14.0,14,4.925734
17.0,17,4.939284
12.0,12,4.951412
16.0,16,4.963922
13.0,13,4.976374
29.0,29,5.007897
14.0,14,5.0252
11.0,11,5.035921
19.0,19,5.059401
24.0,24,5.087659
17.0,17,5.104725
