% time spent exploring,episodes,mean 100 episode reward,steps
98,100,-200.0,19799
96,200,-200.0,39799
94,300,-200.0,59799
92,400,-200.0,79799
90,500,-200.0,99799
88,600,-200.0,119799
86,700,-200.0,139799
84,800,-200.0,159799
82,900,-200.0,179799
80,1000,-200.0,199799
