# {"t_start": 1587534921.5541337, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,1.838893
-500.0,500,2.449029
-500.0,500,3.03718
-500.0,500,3.588553
-500.0,500,4.152007
-500.0,500,4.703965
-500.0,500,5.253205
-500.0,500,5.821527
-500.0,500,6.369517
-500.0,500,6.885793
-500.0,500,7.444818
-500.0,500,8.038142
-500.0,500,8.612082
-500.0,500,9.195428
-500.0,500,9.761215
-500.0,500,10.323217
-500.0,500,10.935751
-398.0,399,11.363643
-500.0,500,11.927732
-500.0,500,12.488671
-500.0,500,13.076017
-500.0,500,13.636523
-500.0,500,14.206779
-500.0,500,14.737886
-500.0,500,15.301364
-500.0,500,15.845752
-500.0,500,16.387959
-500.0,500,16.95321
-500.0,500,17.554499
-500.0,500,18.072937
-500.0,500,18.678057
-500.0,500,19.221129
-500.0,500,19.714469
-500.0,500,20.244097
-500.0,500,20.798273
-500.0,500,21.331122
-500.0,500,21.883039
-500.0,500,22.402654
-500.0,500,22.93735
-500.0,500,23.523172
-500.0,500,24.085228
-500.0,500,24.611571
-500.0,500,25.215805
-500.0,500,25.773312
-500.0,500,26.322558
-500.0,500,26.895533
-500.0,500,27.465142
-500.0,500,28.048531
-500.0,500,28.604294
-500.0,500,29.169038
-500.0,500,29.690658
-500.0,500,30.218403
-500.0,500,30.814257
-500.0,500,31.42717
-500.0,500,32.05599
-500.0,500,32.627963
-500.0,500,33.16036
-500.0,500,33.764657
-500.0,500,34.361154
-500.0,500,34.910754
-500.0,500,35.528866
-500.0,500,36.113043
-500.0,500,36.655342
-500.0,500,37.228971
-500.0,500,37.805535
-500.0,500,38.390094
-500.0,500,38.917827
-500.0,500,39.466164
-500.0,500,39.984384
-500.0,500,40.523234
-500.0,500,41.09972
-436.0,437,41.594707
-500.0,500,42.17578
-500.0,500,42.74716
-500.0,500,43.298227
-500.0,500,43.86522
-500.0,500,44.437428
-500.0,500,45.02032
-500.0,500,45.556727
-500.0,500,46.123626
-500.0,500,46.688131
-500.0,500,47.25004
-500.0,500,47.797385
-500.0,500,48.340133
-500.0,500,48.888118
-500.0,500,49.422194
-500.0,500,49.966066
-500.0,500,50.543963
-500.0,500,51.121677
-500.0,500,51.711621
-500.0,500,52.290466
-500.0,500,52.883334
-500.0,500,53.447532
-500.0,500,53.996347
-500.0,500,54.54365
-500.0,500,55.099947
-500.0,500,55.700643
-500.0,500,56.241925
-500.0,500,56.796607
-500.0,500,57.354605
-500.0,500,57.946888
-500.0,500,58.477
-500.0,500,59.08289
-500.0,500,59.664186
-500.0,500,60.270948
-500.0,500,60.880524
-500.0,500,61.462756
-500.0,500,62.015027
-500.0,500,62.60756
-500.0,500,63.118891
-500.0,500,63.676893
-500.0,500,64.245337
-500.0,500,64.801344
-500.0,500,65.375403
-500.0,500,65.985353
-500.0,500,66.613951
-500.0,500,67.140985
-500.0,500,67.76916
-500.0,500,68.319535
-500.0,500,68.877964
-500.0,500,69.446365
-500.0,500,70.065339
-500.0,500,70.641656
-500.0,500,71.189919
-500.0,500,71.772039
-500.0,500,72.319219
-500.0,500,72.882592
-500.0,500,73.445689
-500.0,500,74.034292
-500.0,500,74.594107
-500.0,500,75.162723
-500.0,500,75.696238
-500.0,500,76.239058
-500.0,500,76.775189
-500.0,500,77.340173
-500.0,500,77.912041
-500.0,500,78.4428
-500.0,500,79.027921
-500.0,500,79.596884
-500.0,500,80.166259
-500.0,500,80.753356
-500.0,500,81.361481
-500.0,500,81.911871
-500.0,500,82.483973
-500.0,500,82.999611
-500.0,500,83.606112
-500.0,500,84.153332
-500.0,500,84.720671
-500.0,500,85.27674
-500.0,500,85.822907
-500.0,500,86.372096
-500.0,500,86.952715
-500.0,500,87.5308
-500.0,500,88.116539
-500.0,500,88.674057
-500.0,500,89.228088
-500.0,500,89.821451
-500.0,500,90.365477
-500.0,500,90.927954
-500.0,500,91.536274
-500.0,500,92.14702
-500.0,500,92.747688
-500.0,500,93.29981
-500.0,500,93.892011
-500.0,500,94.471433
-500.0,500,95.038612
-500.0,500,95.599801
-500.0,500,96.143603
-500.0,500,96.675807
-500.0,500,97.231082
-459.0,460,97.726084
-500.0,500,98.300945
-500.0,500,98.823933
-500.0,500,99.365737
-500.0,500,99.919024
-500.0,500,100.451328
-500.0,500,101.05274
-500.0,500,101.603845
-500.0,500,102.136739
-500.0,500,102.669203
-500.0,500,103.22288
-500.0,500,103.797538
-500.0,500,104.352548
-500.0,500,104.918644
-500.0,500,105.494529
-500.0,500,106.061206
-500.0,500,106.61498
-500.0,500,107.228437
-500.0,500,107.784385
-500.0,500,108.382156
-500.0,500,108.925292
-500.0,500,109.472262
-500.0,500,110.015142
-500.0,500,110.550524
-500.0,500,111.056338
-500.0,500,111.620436
-500.0,500,112.159974
-500.0,500,112.692431
-500.0,500,113.25834
-500.0,500,113.839641
-500.0,500,114.420968
-500.0,500,114.981273
-500.0,500,115.503163
-500.0,500,116.08379
