# {"t_start": 1587203818.1565614, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.047935
-500.0,500,2.342835
-500.0,500,4.672533
-500.0,500,6.913829
-500.0,500,9.162278
-500.0,500,11.407574
-500.0,500,13.65257
-500.0,500,15.88698
-500.0,500,18.115222
-500.0,500,20.35201
-339.0,340,21.869572
-330.0,331,23.344625
-263.0,264,24.522201
-350.0,351,26.090982
-296.0,297,27.41394
-463.0,464,29.487822
-249.0,250,30.604348
-313.0,314,32.00739
-301.0,302,33.358589
-329.0,330,34.83366
-151.0,152,35.512947
-212.0,213,36.466981
-153.0,154,37.158347
-171.0,172,37.928649
-340.0,341,39.453626
-349.0,350,41.020013
-500.0,500,43.262024
-500.0,500,45.50151
-500.0,500,47.738779
-447.0,448,49.744416
-222.0,223,50.741557
-174.0,175,51.525065
-165.0,166,52.269388
-500.0,500,54.508052
-500.0,500,56.74614
-500.0,500,58.988716
-500.0,500,61.233093
-500.0,500,63.469646
-500.0,500,65.709529
-500.0,500,67.95366
-500.0,500,70.191714
-500.0,500,72.435874
-500.0,500,74.679497
-500.0,500,76.921841
-500.0,500,79.162096
-500.0,500,81.408286
-500.0,500,83.650729
-500.0,500,85.894661
-500.0,500,88.14436
-500.0,500,90.387639
-500.0,500,92.642454
-500.0,500,94.904864
-500.0,500,97.165581
-500.0,500,99.430043
-500.0,500,101.694461
-500.0,500,103.952681
-500.0,500,106.208677
-500.0,500,108.46328
-500.0,500,110.718143
-500.0,500,112.9763
-454.0,455,115.029061
-500.0,500,117.288007
-136.0,137,117.907524
-423.0,424,119.82407
-460.0,461,121.908584
-500.0,500,124.173668
-483.0,484,126.362267
-115.0,116,126.886906
-213.0,214,127.854441
-299.0,300,129.208134
-413.0,414,131.078454
-72.0,73,131.408498
-127.0,128,131.989441
-99.0,100,132.440375
-158.0,159,133.160284
-228.0,229,134.194793
-364.0,365,135.845881
-118.0,119,136.38878
-94.0,95,136.817261
-111.0,112,137.324886
-217.0,218,138.311138
-177.0,178,139.117223
-136.0,137,139.73677
-110.0,111,140.239406
-305.0,306,141.624692
-116.0,117,142.158165
-79.0,80,142.520479
-152.0,153,143.213897
-72.0,73,143.5435
-74.0,75,143.883213
-76.0,77,144.232324
-81.0,82,144.602647
-90.0,91,145.015324
-70.0,71,145.337421
-92.0,93,145.759533
-117.0,118,146.298614
-103.0,104,146.770243
-500.0,500,149.043578
-105.0,106,149.52505
-500.0,500,151.797481
-284.0,285,153.096416
-154.0,155,153.803189
-98.0,99,154.254704
-123.0,124,154.819436
-71.0,72,155.147146
-101.0,102,155.610938
-74.0,75,155.952443
-136.0,137,156.577876
-76.0,77,156.929533
-133.0,134,157.538007
-116.0,117,158.07334
-64.0,65,158.369052
-75.0,76,158.714514
-94.0,95,159.146091
-124.0,125,159.717142
-122.0,123,160.276793
-163.0,164,161.023351
-126.0,127,161.600756
-106.0,107,162.088162
-234.0,235,163.159974
-365.0,366,164.824442
-114.0,115,165.350361
-368.0,369,167.03131
-121.0,122,167.584756
-201.0,202,168.504669
-114.0,115,169.024103
-91.0,92,169.439318
-90.0,91,169.851292
-96.0,97,170.290453
-90.0,91,170.703794
-64.0,65,170.997794
-91.0,92,171.414379
-81.0,82,171.785417
-93.0,94,172.21037
-108.0,109,172.704872
-74.0,75,173.044301
-85.0,86,173.434727
-92.0,93,173.855994
-178.0,179,174.66673
-124.0,125,175.231947
-138.0,139,175.860354
-500.0,500,178.184417
-162.0,163,178.922284
-500.0,500,181.20827
-291.0,292,182.546156
-123.0,124,183.116525
-74.0,75,183.458795
-80.0,81,183.82889
-78.0,79,184.189436
-69.0,70,184.509992
-69.0,70,184.829796
-98.0,99,185.282011
-337.0,338,186.826443
-95.0,96,187.264353
-89.0,90,187.675083
-81.0,82,188.049688
-99.0,100,188.505936
-80.0,81,188.875356
-500.0,500,191.157419
-251.0,252,192.307098
-268.0,269,193.537897
-233.0,234,194.605743
-213.0,214,195.581068
-109.0,110,196.083491
-120.0,121,196.635383
-88.0,89,197.041835
-100.0,101,197.50209
-113.0,114,198.023934
-85.0,86,198.416368
-98.0,99,198.866623
-107.0,108,199.362689
-117.0,118,199.900967
-174.0,175,200.697834
-106.0,107,201.185482
-192.0,193,202.067082
-282.0,283,203.35771
-399.0,400,205.17913
-162.0,163,205.924943
-160.0,161,206.657678
-253.0,254,207.816439
-273.0,274,209.064812
-160.0,161,209.800609
-122.0,123,210.360304
-62.0,63,210.647666
-73.0,74,210.984688
-101.0,102,211.450105
-82.0,83,211.828705
-62.0,63,212.116887
-86.0,87,212.513897
-91.0,92,212.935023
-71.0,72,213.264659
-88.0,89,213.672312
-101.0,102,214.138136
-120.0,121,214.691274
-88.0,89,215.100894
-218.0,219,216.1021
-78.0,79,216.46642
-92.0,93,216.890445
-85.0,86,217.28481
-422.0,423,219.215997
-92.0,93,219.640993
-161.0,162,220.381392
-360.0,361,222.031135
-90.0,91,222.447075
-229.0,230,223.497858
-105.0,106,223.991347
-108.0,109,224.489491
-99.0,100,224.946932
-88.0,89,225.354859
-71.0,72,225.683086
-75.0,76,226.030933
-74.0,75,226.373547
-95.0,96,226.812566
-185.0,186,227.660513
-185.0,186,228.510218
-343.0,344,230.081187
-250.0,251,231.229693
-333.0,334,232.752157
-157.0,158,233.475111
-219.0,220,234.47961
-267.0,268,235.703162
-321.0,322,237.17555
-174.0,175,237.974914
-62.0,63,238.261575
-500.0,500,240.54446
-76.0,77,240.897598
-79.0,80,241.261771
-95.0,96,241.699421
-63.0,64,241.991802
-78.0,79,242.354145
-153.0,154,243.057862
-114.0,115,243.58282
-94.0,95,244.016645
-64.0,65,244.313619
-153.0,154,245.017033
-74.0,75,245.358959
-86.0,87,245.75568
-135.0,136,246.37653
-165.0,166,247.135322
-80.0,81,247.504267
-125.0,126,248.078892
-500.0,500,250.362511
-83.0,84,250.746705
-89.0,90,251.156385
-71.0,72,251.484923
-116.0,117,252.019761
-117.0,118,252.559048
-95.0,96,252.998197
-87.0,88,253.400726
-88.0,89,253.808249
-112.0,113,254.325549
-140.0,141,254.968506
-155.0,156,255.681932
-99.0,100,256.141696
-75.0,76,256.490357
-81.0,82,256.86343
-154.0,155,257.571464
-75.0,76,257.917789
-92.0,93,258.34362
-102.0,103,258.813314
-74.0,75,259.156242
-107.0,108,259.648891
-90.0,91,260.063765
-125.0,126,260.639598
-103.0,104,261.114601
-108.0,109,261.612509
-102.0,103,262.082893
-62.0,63,262.372558
-95.0,96,262.810484
-75.0,76,263.157971
-104.0,105,263.63761
-73.0,74,263.976214
-76.0,77,264.32915
-167.0,168,265.095486
-86.0,87,265.492982
-86.0,87,265.890343
-76.0,77,266.24217
-97.0,98,266.68966
-155.0,156,267.402568
-72.0,73,267.737025
-80.0,81,268.106481
-287.0,288,269.420804
-89.0,90,269.839264
-71.0,72,270.168919
-123.0,124,270.737133
-131.0,132,271.339492
-104.0,105,271.818846
-71.0,72,272.148757
-105.0,106,272.6328
-85.0,86,273.024589
-81.0,82,273.399718
-95.0,96,273.83907
-114.0,115,274.364755
-69.0,70,274.684479
-84.0,85,275.072486
-76.0,77,275.423301
-90.0,91,275.839396
-104.0,105,276.31878
-84.0,85,276.707718
-112.0,113,277.223043
-78.0,79,277.583904
-97.0,98,278.033559
-90.0,91,278.447672
-76.0,77,278.798916
-75.0,76,279.146014
-232.0,233,280.209385
-93.0,94,280.638353
-75.0,76,280.985513
-142.0,143,281.638966
-89.0,90,282.049789
-104.0,105,282.529507
-104.0,105,283.008657
-122.0,123,283.57013
-102.0,103,284.041748
-247.0,248,285.174824
-93.0,94,285.605961
-79.0,80,285.971678
-100.0,101,286.432147
-97.0,98,286.879184
