# {"env_id": "Acrobot-v1", "t_start": 1587630830.2826948} 
r,l,t
-500.0,500,2.03112
-500.0,500,2.328218
-500.0,500,4.636079
-500.0,500,6.88415
-500.0,500,9.13516
-500.0,500,11.387941
-500.0,500,13.645756
-500.0,500,15.896534
-500.0,500,18.149748
-276.0,277,19.399906
-354.0,355,20.992054
-230.0,231,22.032062
-444.0,445,24.027401
-500.0,500,26.266089
-410.0,411,28.105035
-398.0,399,29.889545
-370.0,371,31.550217
-495.0,496,33.773908
-264.0,265,34.95927
-466.0,467,37.054833
-487.0,488,39.239242
-157.0,158,39.947219
-336.0,337,41.45552
-394.0,395,43.223169
-500.0,500,45.465559
-500.0,500,47.704252
-500.0,500,49.942546
-296.0,297,51.275024
-394.0,395,53.044476
-500.0,500,55.285201
-500.0,500,57.531938
-500.0,500,59.771903
-500.0,500,62.017843
-500.0,500,64.259794
-500.0,500,66.507514
-500.0,500,68.751115
-500.0,500,70.990993
-500.0,500,73.236884
-500.0,500,75.48004
-500.0,500,77.726421
-500.0,500,79.964913
-500.0,500,82.201722
-500.0,500,84.439801
-500.0,500,86.681509
-500.0,500,88.921968
-500.0,500,91.162002
-500.0,500,93.418923
-500.0,500,95.669449
-500.0,500,97.921493
-500.0,500,100.176276
-408.0,409,102.017174
-500.0,500,104.270739
-500.0,500,106.525134
-500.0,500,108.789623
-500.0,500,111.044463
-500.0,500,113.295766
-500.0,500,115.539374
-500.0,500,117.785819
-500.0,500,120.03582
-500.0,500,122.281522
-500.0,500,124.532007
-500.0,500,126.779049
-406.0,407,128.606189
-500.0,500,130.857563
-500.0,500,133.102613
-159.0,160,133.823339
-500.0,500,136.071353
-421.0,422,137.968592
-329.0,330,139.455301
-98.0,99,139.900064
-80.0,81,140.265514
-71.0,72,140.589833
-85.0,86,140.97588
-93.0,94,141.400202
-114.0,115,141.917891
-500.0,500,144.17442
-88.0,89,144.575096
-108.0,109,145.065399
-151.0,152,145.751441
-96.0,97,146.191378
-108.0,109,146.68258
-89.0,90,147.089578
-119.0,120,147.630363
-86.0,87,148.02325
-75.0,76,148.366683
-119.0,120,148.908124
-103.0,104,149.380633
-111.0,112,149.887108
-119.0,120,150.428525
-114.0,115,150.948737
-88.0,89,151.351836
-93.0,94,151.776493
-89.0,90,152.183447
-223.0,224,153.197561
-277.0,278,154.454073
-84.0,85,154.839048
-90.0,91,155.250689
-252.0,253,156.394023
-75.0,76,156.738434
-114.0,115,157.259593
-73.0,74,157.597075
-101.0,102,158.059459
-223.0,224,159.075941
-176.0,177,159.87697
-143.0,144,160.529879
-99.0,100,160.981053
-107.0,108,161.474239
-233.0,234,162.540843
-96.0,97,162.980566
-88.0,89,163.381998
-71.0,72,163.708266
-86.0,87,164.102292
-72.0,73,164.433011
-81.0,82,164.803038
-70.0,71,165.124079
-97.0,98,165.569021
-77.0,78,165.921325
-85.0,86,166.308431
-70.0,71,166.629669
-69.0,70,166.94671
-97.0,98,167.389606
-105.0,106,167.868273
-85.0,86,168.255898
-63.0,64,168.545633
-82.0,83,168.920965
-86.0,87,169.314792
-88.0,89,169.716502
-90.0,91,170.128611
-130.0,131,170.722707
-74.0,75,171.063342
-500.0,500,173.326342
-77.0,78,173.678139
-86.0,87,174.072266
-95.0,96,174.507354
-85.0,86,174.896478
-86.0,87,175.289576
-91.0,92,175.705636
-76.0,77,176.052506
-100.0,101,176.510202
-73.0,74,176.845303
-86.0,87,177.239085
-75.0,76,177.581861
-87.0,88,178.035549
-75.0,76,178.383723
-75.0,76,178.731436
-78.0,79,179.091843
-98.0,99,179.542827
-102.0,103,180.012002
-99.0,100,180.469414
-91.0,92,180.889263
-78.0,79,181.249643
-95.0,96,181.687025
-83.0,84,182.069583
-75.0,76,182.415867
-73.0,74,182.754015
-79.0,80,183.117939
-71.0,72,183.444988
-500.0,500,185.720988
-63.0,64,186.012465
-95.0,96,186.450266
-500.0,500,188.723146
-64.0,65,189.020092
-63.0,64,189.311322
-113.0,114,189.83225
-106.0,107,190.325746
-64.0,65,190.621429
-500.0,500,192.903111
-99.0,100,193.361476
-75.0,76,193.706746
-93.0,94,194.135713
-83.0,84,194.519702
-70.0,71,194.847257
-75.0,76,195.193507
-117.0,118,195.730831
-79.0,80,196.095829
-70.0,71,196.424469
-120.0,121,196.975685
-100.0,101,197.436829
-78.0,79,197.800896
-105.0,106,198.284431
-137.0,138,198.912646
-83.0,84,199.295799
-80.0,81,199.665717
-122.0,123,200.226639
-84.0,85,200.617672
-102.0,103,201.087559
-93.0,94,201.516041
-93.0,94,201.944743
-84.0,85,202.33204
-95.0,96,202.769925
-108.0,109,203.266594
-70.0,71,203.590987
-121.0,122,204.148014
-76.0,77,204.499349
-88.0,89,204.904517
-95.0,96,205.342891
-91.0,92,205.763462
-91.0,92,206.183238
-77.0,78,206.539354
-71.0,72,206.866942
-83.0,84,207.250793
-92.0,93,207.675593
-150.0,151,208.364386
-74.0,75,208.704947
-87.0,88,209.10575
-73.0,74,209.443848
-140.0,141,210.089304
-64.0,65,210.386785
-314.0,315,211.82371
-92.0,93,212.247226
-116.0,117,212.785096
-107.0,108,213.276692
-102.0,103,213.746938
-153.0,154,214.449278
-74.0,75,214.791223
-143.0,144,215.448087
-286.0,287,216.751293
-88.0,89,217.155285
-90.0,91,217.568081
-96.0,97,218.009749
-121.0,122,218.567364
-153.0,154,219.269078
-74.0,75,219.612998
-74.0,75,219.954629
-81.0,82,220.329549
-88.0,89,220.735533
-98.0,99,221.188131
-92.0,93,221.614295
-70.0,71,221.937637
-74.0,75,222.280009
-63.0,64,222.572426
-110.0,111,223.079655
-70.0,71,223.403952
-76.0,77,223.763452
-85.0,86,224.15588
-74.0,75,224.498632
-70.0,71,224.821569
-112.0,113,225.338102
-84.0,85,225.725996
-71.0,72,226.054051
-77.0,78,226.409148
-113.0,114,226.93026
-71.0,72,227.259258
-82.0,83,227.638292
-78.0,79,227.999197
-76.0,77,228.35059
-160.0,161,229.091904
-189.0,190,229.956331
-133.0,134,230.563077
-289.0,290,231.876159
-88.0,89,232.278234
-93.0,94,232.705199
-106.0,107,233.188946
-75.0,76,233.533212
-117.0,118,234.066772
-104.0,105,234.541867
-74.0,75,234.882159
-76.0,77,235.232274
-100.0,101,235.688684
-93.0,94,236.11428
-78.0,79,236.472186
-99.0,100,236.924459
-89.0,90,237.332772
-72.0,73,237.663276
-82.0,83,238.03761
-265.0,266,239.242181
-82.0,83,239.618491
-97.0,98,240.060764
-144.0,145,240.71693
-73.0,74,241.050408
-94.0,95,241.480408
-117.0,118,242.01444
-84.0,85,242.39948
-129.0,130,242.987455
-82.0,83,243.363298
-75.0,76,243.707716
-74.0,75,244.04846
-114.0,115,244.569597
-249.0,250,245.701094
-87.0,88,246.098973
-117.0,118,246.63415
-88.0,89,247.037161
-89.0,90,247.44498
-85.0,86,247.832793
-138.0,139,248.462693
-100.0,101,248.91977
-107.0,108,249.409048
-97.0,98,249.85165
-71.0,72,250.17749
-231.0,232,251.226499
-94.0,95,251.65509
-81.0,82,252.024987
-122.0,123,252.581414
-80.0,81,252.94694
-109.0,110,253.443252
-147.0,148,254.111183
-93.0,94,254.536706
-82.0,83,254.915366
-104.0,105,255.388981
-101.0,102,255.848929
-119.0,120,256.390108
-108.0,109,256.882669
-78.0,79,257.239134
-97.0,98,257.68119
-67.0,68,257.987441
-301.0,302,259.351635
-76.0,77,259.699495
-80.0,81,260.064114
-94.0,95,260.493653
-93.0,94,260.919119
-109.0,110,261.417158
-96.0,97,261.856767
-140.0,141,262.498969
-86.0,87,262.893773
-62.0,63,263.18005
-102.0,103,263.647854
-80.0,81,264.014302
-74.0,75,264.357317
-81.0,82,264.729898
-82.0,83,265.107298
-155.0,156,265.81723
-85.0,86,266.208668
-80.0,81,266.581742
-80.0,81,266.950291
-81.0,82,267.323549
