% time spent exploring,episodes,mean 100 episode reward,steps
2,100,-405.9,40220
2,200,-91.8,49503
2,300,-82.8,57888
2,400,-87.8,66770
2,500,-84.2,75289
2,600,-84.3,83821
2,700,-83.5,92267
