# {"env_id": "Acrobot-v1", "t_start": 1587627731.7015548} 
r,l,t
-500.0,500,2.01133
-500.0,500,2.306537
-500.0,500,4.647478
-500.0,500,6.900156
-500.0,500,9.152315
-500.0,500,11.407473
-500.0,500,13.651271
-500.0,500,15.876786
-371.0,372,17.54662
-500.0,500,19.786313
-500.0,500,22.032132
-500.0,500,24.285179
-500.0,500,26.538357
-278.0,279,27.799439
-500.0,500,30.052644
-500.0,500,32.308799
-500.0,500,34.5635
-500.0,500,36.814084
-500.0,500,39.066958
-239.0,240,40.145888
-500.0,500,42.398759
-500.0,500,44.648738
-500.0,500,46.90258
-500.0,500,49.153668
-500.0,500,51.404014
-500.0,500,53.655114
-500.0,500,55.90399
-183.0,184,56.736356
-138.0,139,57.360947
-114.0,115,57.878746
-109.0,110,58.374411
-180.0,181,59.193326
-101.0,102,59.65247
-460.0,461,61.727264
-439.0,440,63.706407
-168.0,169,64.469639
-306.0,307,65.854476
-443.0,444,67.852644
-500.0,500,70.106745
-500.0,500,72.3614
-291.0,292,73.679155
-291.0,292,74.996996
-82.0,83,75.370967
-76.0,77,75.719136
-86.0,87,76.115634
-92.0,93,76.53815
-94.0,95,76.96788
-80.0,81,77.333122
-314.0,315,78.756149
-465.0,466,80.864892
-500.0,500,83.123544
-412.0,413,84.989614
-259.0,260,86.166065
-105.0,106,86.645605
-117.0,118,87.1789
-127.0,128,87.760994
-87.0,88,88.159726
-229.0,230,89.200203
-500.0,500,91.463422
-500.0,500,93.726805
-500.0,500,95.993955
-500.0,500,98.257342
-500.0,500,100.525297
-500.0,500,102.787279
-500.0,500,105.052913
-500.0,500,107.321033
-500.0,500,109.585122
-500.0,500,111.854186
-459.0,460,113.941948
-222.0,223,114.958659
-149.0,150,115.640396
-198.0,199,116.545177
-219.0,220,117.546072
-228.0,229,118.587579
-500.0,500,120.864581
-220.0,221,121.869976
-500.0,500,124.144628
-500.0,500,126.422524
-500.0,500,128.702077
-500.0,500,130.978178
-500.0,500,133.254874
-500.0,500,135.538214
-264.0,265,136.745225
-500.0,500,139.023841
-500.0,500,141.303643
-393.0,394,143.095532
-500.0,500,145.366312
-360.0,361,147.010701
-322.0,323,148.484013
-500.0,500,150.765868
-500.0,500,153.039949
-500.0,500,155.316187
-500.0,500,157.595976
-94.0,95,158.029944
-483.0,484,160.238904
-124.0,125,160.809382
-500.0,500,163.096263
-500.0,500,165.376462
-500.0,500,167.655906
-500.0,500,169.935841
-500.0,500,172.217519
-500.0,500,174.498699
-500.0,500,176.776783
-183.0,184,177.613942
-115.0,116,178.141598
-75.0,76,178.488174
-83.0,84,178.871156
-92.0,93,179.346555
-74.0,75,179.690042
-72.0,73,180.024374
-97.0,98,180.472908
-104.0,105,180.952808
-92.0,93,181.376636
-84.0,85,181.764436
-85.0,86,182.156918
-209.0,210,183.113837
-97.0,98,183.561201
-74.0,75,183.903929
-131.0,132,184.5059
-82.0,83,184.884918
-106.0,107,185.372174
-94.0,95,185.804957
-120.0,121,186.356859
-151.0,152,187.048986
-252.0,253,188.202527
-87.0,88,188.603474
-79.0,80,188.968249
-62.0,63,189.260401
-95.0,96,189.697092
-107.0,108,190.188711
-62.0,63,190.476691
-106.0,107,190.964529
-93.0,94,191.392551
-75.0,76,191.739042
-90.0,91,192.152692
-61.0,62,192.4354
-165.0,166,193.193272
-92.0,93,193.616637
-77.0,78,193.976411
-92.0,93,194.399969
-81.0,82,194.774298
-85.0,86,195.167837
-75.0,76,195.513525
-92.0,93,195.936508
-91.0,92,196.355766
-89.0,90,196.769872
-86.0,87,197.16769
-74.0,75,197.508929
-95.0,96,197.947195
-83.0,84,198.330282
-103.0,104,198.805274
-87.0,88,199.206336
-223.0,224,200.226094
-116.0,117,200.760607
-62.0,63,201.048059
-72.0,73,201.379908
-79.0,80,201.744815
-106.0,107,202.233404
-86.0,87,202.632617
-104.0,105,203.112241
-98.0,99,203.564135
-93.0,94,203.993047
-72.0,73,204.325658
-75.0,76,204.673659
-97.0,98,205.120257
-84.0,85,205.508236
-75.0,76,205.854686
-86.0,87,206.252901
-123.0,124,206.823279
-69.0,70,207.143365
-149.0,150,207.831201
-137.0,138,208.465674
-174.0,175,209.268503
-122.0,123,209.831131
-124.0,125,210.40421
-88.0,89,210.811584
-137.0,138,211.44371
-147.0,148,212.121877
-76.0,77,212.475172
-75.0,76,212.823294
-97.0,98,213.271532
-97.0,98,213.720743
-148.0,149,214.40216
-191.0,192,215.280906
-94.0,95,215.715714
-78.0,79,216.076834
-95.0,96,216.516525
-208.0,209,217.477155
-119.0,120,218.027406
-86.0,87,218.425377
-92.0,93,218.855882
-91.0,92,219.277769
-70.0,71,219.603364
-95.0,96,220.043048
-82.0,83,220.422861
-84.0,85,220.812294
-93.0,94,221.242753
-97.0,98,221.693468
-143.0,144,222.354707
-106.0,107,222.847685
-75.0,76,223.196819
-196.0,197,224.10257
-81.0,82,224.483174
-85.0,86,224.886243
