% time spent exploring,episodes,mean 100 episode reward,steps
80,100,20.2,1995
37,200,43.4,6335
2,300,60.2,12356
2,400,113.6,23714
2,500,116.0,35315
2,600,158.9,51202
2,700,166.3,67829
2,800,178.1,85640
