# {"t_start": 1587199955.9694707, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.055233
-500.0,500,2.353397
-500.0,500,4.705476
-500.0,500,6.968552
-500.0,500,9.230206
-500.0,500,11.497997
-500.0,500,13.766431
-467.0,468,15.883734
-500.0,500,18.115239
-343.0,344,19.661842
-500.0,500,21.931005
-500.0,500,24.19704
-500.0,500,26.452325
-500.0,500,28.709233
-500.0,500,30.967184
-500.0,500,33.224343
-334.0,335,34.735552
-500.0,500,36.992851
-352.0,353,38.590364
-390.0,391,40.35338
-500.0,500,42.61281
-500.0,500,44.871134
-500.0,500,47.133746
-500.0,500,49.398179
-500.0,500,51.653779
-444.0,445,53.661337
-274.0,275,54.902354
-289.0,290,56.215957
-500.0,500,58.486507
-500.0,500,60.753026
-500.0,500,63.013866
-500.0,500,65.283992
-500.0,500,67.545331
-500.0,500,69.813514
-500.0,500,72.07633
-354.0,355,73.693538
-277.0,278,74.953218
-500.0,500,77.225874
-500.0,500,79.491349
-351.0,352,81.08888
-268.0,269,82.306861
-500.0,500,84.581216
-166.0,167,85.338407
-500.0,500,87.602918
-424.0,425,89.53388
-292.0,293,90.860535
-282.0,283,92.145748
-500.0,500,94.412498
-141.0,142,95.056647
-500.0,500,97.330077
-137.0,138,97.954405
-500.0,500,100.225365
-500.0,500,102.49132
-500.0,500,104.76631
-93.0,94,105.192911
-265.0,266,106.399829
-111.0,112,106.909699
-108.0,109,107.404625
-87.0,88,107.804672
-111.0,112,108.320375
-81.0,82,108.694046
-89.0,90,109.102893
-104.0,105,109.579683
-106.0,107,110.065114
-132.0,133,110.669808
-159.0,160,111.396882
-195.0,196,112.295157
-145.0,146,112.959352
-268.0,269,114.180923
-432.0,433,116.150839
-344.0,345,117.720014
-168.0,169,118.489947
-91.0,92,118.908444
-77.0,78,119.262491
-77.0,78,119.618504
-138.0,139,120.253104
-110.0,111,120.758993
-76.0,77,121.110461
-91.0,92,121.527952
-88.0,89,121.933295
-76.0,77,122.28388
-68.0,69,122.599811
-72.0,73,122.931281
-87.0,88,123.332725
-79.0,80,123.704875
-113.0,114,124.224024
-96.0,97,124.666818
-89.0,90,125.077713
-78.0,79,125.436307
-98.0,99,125.88801
-104.0,105,126.36721
-74.0,75,126.708483
-84.0,85,127.096713
-76.0,77,127.447186
-64.0,65,127.749923
-97.0,98,128.19782
-77.0,78,128.553989
-78.0,79,128.914094
-62.0,63,129.200941
-95.0,96,129.639206
-95.0,96,130.077246
-77.0,78,130.435113
-75.0,76,130.781033
-96.0,97,131.222161
-73.0,74,131.570647
-64.0,65,131.867756
-84.0,85,132.255788
-111.0,112,132.766841
-79.0,80,133.131237
-88.0,89,133.537637
-84.0,85,133.925324
-137.0,138,134.609243
-92.0,93,135.035958
-82.0,83,135.416126
-76.0,77,135.768407
-76.0,77,136.121193
-69.0,70,136.441572
-120.0,121,136.994709
-108.0,109,137.49297
-88.0,89,137.900026
-69.0,70,138.224296
-69.0,70,138.542845
-79.0,80,138.908538
-68.0,69,139.223918
-93.0,94,139.652574
-76.0,77,140.004646
-94.0,95,140.438995
-104.0,105,140.918492
-62.0,63,141.209423
-398.0,399,143.029859
-78.0,79,143.390109
-70.0,71,143.714009
-94.0,95,144.148499
-70.0,71,144.471522
-81.0,82,144.845694
-95.0,96,145.282929
-98.0,99,145.735989
-98.0,99,146.186903
-84.0,85,146.574723
-107.0,108,147.067325
-135.0,136,147.689188
-79.0,80,148.054895
-80.0,81,148.428442
-62.0,63,148.714597
-83.0,84,149.098084
-83.0,84,149.481864
-92.0,93,149.907802
-103.0,104,150.383462
-96.0,97,150.824709
-154.0,155,151.533146
-90.0,91,151.949448
-95.0,96,152.388342
-75.0,76,152.734987
-81.0,82,153.109778
-105.0,106,153.594197
-75.0,76,153.941972
-70.0,71,154.265939
-70.0,71,154.593508
-80.0,81,154.963298
-73.0,74,155.300935
-75.0,76,155.648878
-87.0,88,156.050293
-73.0,74,156.38855
-85.0,86,156.781811
-76.0,77,157.132643
-74.0,75,157.476208
-95.0,96,157.914174
-84.0,85,158.302106
-75.0,76,158.64801
-87.0,88,159.049292
-63.0,64,159.34214
-103.0,104,159.81728
-64.0,65,160.113377
-63.0,64,160.405483
-71.0,72,160.735234
-87.0,88,161.136867
-90.0,91,161.553075
-88.0,89,161.959228
-95.0,96,162.398312
-96.0,97,162.841508
-84.0,85,163.229564
-74.0,75,163.573299
-85.0,86,163.965324
-76.0,77,164.315773
-75.0,76,164.663394
-85.0,86,165.056485
-87.0,88,165.458422
-106.0,107,165.946425
-89.0,90,166.357265
-76.0,77,166.709741
-63.0,64,167.002466
-74.0,75,167.345116
-86.0,87,167.742123
-77.0,78,168.098057
-85.0,86,168.491327
-84.0,85,168.878475
-87.0,88,169.281103
-76.0,77,169.632848
-77.0,78,169.988514
-101.0,102,170.457267
-88.0,89,170.862751
-73.0,74,171.202904
-96.0,97,171.645314
-100.0,101,172.106499
-63.0,64,172.399097
-69.0,70,172.718186
-76.0,77,173.070033
-101.0,102,173.536298
-78.0,79,173.897276
-112.0,113,174.413193
-79.0,80,174.777337
-85.0,86,175.171108
-99.0,100,175.628089
-71.0,72,175.95771
-74.0,75,176.300713
-76.0,77,176.651562
-108.0,109,177.150992
-88.0,89,177.55797
-79.0,80,177.923256
-91.0,92,178.343391
-79.0,80,178.708231
-78.0,79,179.069665
-93.0,94,179.499172
-72.0,73,179.840729
-108.0,109,180.338402
-85.0,86,180.730915
-93.0,94,181.161252
-99.0,100,181.616472
-77.0,78,181.973475
-71.0,72,182.306545
-79.0,80,182.67171
-99.0,100,183.129917
-116.0,117,183.664144
-83.0,84,184.046745
-93.0,94,184.47623
-98.0,99,184.93045
-110.0,111,185.436504
-71.0,72,185.765839
-91.0,92,186.186223
-97.0,98,186.633917
-77.0,78,186.991382
-71.0,72,187.319118
-108.0,109,187.817215
-87.0,88,188.219101
-89.0,90,188.629805
-83.0,84,189.014986
-88.0,89,189.421059
-107.0,108,189.913063
-92.0,93,190.33755
-96.0,97,190.781036
-93.0,94,191.213388
-70.0,71,191.537576
-85.0,86,191.930325
-75.0,76,192.276975
-95.0,96,192.717329
-104.0,105,193.19695
-95.0,96,193.636349
-96.0,97,194.079125
-101.0,102,194.54477
-74.0,75,194.888919
-103.0,104,195.364032
-76.0,77,195.715091
-93.0,94,196.144779
-96.0,97,196.588911
-170.0,171,197.372755
-95.0,96,197.811386
-72.0,73,198.145013
-85.0,86,198.539401
-80.0,81,198.909552
-87.0,88,199.311653
-82.0,83,199.691269
-93.0,94,200.120801
-114.0,115,200.647326
-77.0,78,201.004436
-127.0,128,201.591986
-63.0,64,201.884534
-86.0,87,202.281673
-63.0,64,202.575205
-94.0,95,203.008936
-76.0,77,203.360479
-64.0,65,203.657961
-77.0,78,204.013942
-106.0,107,204.503927
-83.0,84,204.887974
-90.0,91,205.303323
-71.0,72,205.632429
-122.0,123,206.193834
-76.0,77,206.546378
-82.0,83,206.924735
-71.0,72,207.252767
-91.0,92,207.673122
-104.0,105,208.152646
-90.0,91,208.569212
-87.0,88,208.969664
-101.0,102,209.434967
-79.0,80,209.800138
-84.0,85,210.189481
-95.0,96,210.627867
-111.0,112,211.139507
-86.0,87,211.537404
-80.0,81,211.908478
-73.0,74,212.246856
-98.0,99,212.698769
-88.0,89,213.108566
-111.0,112,213.620224
-73.0,74,213.95897
-69.0,70,214.280354
-150.0,151,214.970818
-93.0,94,215.400354
-85.0,86,215.792263
-86.0,87,216.195029
-130.0,131,216.795028
-77.0,78,217.150126
-164.0,165,217.905023
-71.0,72,218.234634
-82.0,83,218.615115
-75.0,76,218.962108
-101.0,102,219.427866
-83.0,84,219.811567
-84.0,85,220.201823
-88.0,89,220.608479
-81.0,82,220.984916
-86.0,87,221.384355
-93.0,94,221.816742
-77.0,78,222.177101
-97.0,98,222.626774
-81.0,82,223.003904
-176.0,177,223.815036
-92.0,93,224.242087
-92.0,93,224.668115
-70.0,71,224.992145
-68.0,69,225.307989
-117.0,118,225.848875
-91.0,92,226.270491
-70.0,71,226.596379
-81.0,82,226.970796
-68.0,69,227.287015
-101.0,102,227.758657
-120.0,121,228.313248
-95.0,96,228.753076
-61.0,62,229.037557
-60.0,61,229.316456
-67.0,68,229.628423
-72.0,73,229.964606
-82.0,83,230.344061
-103.0,104,230.820621
-74.0,75,231.16458
-93.0,94,231.596154
-77.0,78,231.958788
-71.0,72,232.288116
-95.0,96,232.728642
-81.0,82,233.104131
-75.0,76,233.456579
-81.0,82,233.831875
-84.0,85,234.221094
-77.0,78,234.577438
-115.0,116,235.107857
-128.0,129,235.698076
-123.0,124,236.265593
-72.0,73,236.599209
-80.0,81,236.970623
-102.0,103,237.441836
-82.0,83,237.822691
-83.0,84,238.20592
-74.0,75,238.548073
-89.0,90,238.959946
-96.0,97,239.404277
-70.0,71,239.730428
-91.0,92,240.151475
-104.0,105,240.630636
-70.0,71,240.956389
-104.0,105,241.438737
-102.0,103,241.909966
-62.0,63,242.198217
-80.0,81,242.568132
-74.0,75,242.911987
-62.0,63,243.201328
-131.0,132,243.809933
-63.0,64,244.10346
-102.0,103,244.577621
-81.0,82,244.955394
-83.0,84,245.34195
-75.0,76,245.690946
-136.0,137,246.319736
-77.0,78,246.678653
-78.0,79,247.040226
-78.0,79,247.404249
-85.0,86,247.798928
-76.0,77,248.151958
-80.0,81,248.524751
-73.0,74,248.863654
-85.0,86,249.25927
-83.0,84,249.645252
-94.0,95,250.081914
-108.0,109,250.582389
-80.0,81,250.953318
-84.0,85,251.347381
-94.0,95,251.78394
-78.0,79,252.146352
-88.0,89,252.559328
-80.0,81,252.932059
-76.0,77,253.286153
-91.0,92,253.708423
-87.0,88,254.112876
-96.0,97,254.55784
-119.0,120,255.109188
-69.0,70,255.43122
-116.0,117,255.96714
-98.0,99,256.421492
-77.0,78,256.778908
-93.0,94,257.214676
-95.0,96,257.655715
-103.0,104,258.133099
-79.0,80,258.500918
-82.0,83,258.882926
-76.0,77,259.236313
-94.0,95,259.672443
-76.0,77,260.026249
-90.0,91,260.444367
-92.0,93,260.870883
-84.0,85,261.262997
-98.0,99,261.717108
-75.0,76,262.064897
-69.0,70,262.386748
-70.0,71,262.71277
-93.0,94,263.145065
-73.0,74,263.485049
-82.0,83,263.865511
-98.0,99,264.320172
-82.0,83,264.701839
-84.0,85,265.092254
-99.0,100,265.551623
-90.0,91,265.969105
-98.0,99,266.423934
