% time spent exploring,episodes,mean 100 episode reward,steps
2,100,-291.9,28965
2,200,-88.1,37879
2,300,-89.0,46880
2,400,-88.4,55823
2,500,-97.2,65641
2,600,-93.1,75049
2,700,-82.7,83422
2,800,-85.8,92100
