% time spent exploring,episodes,mean 100 episode reward,steps
2,100,-320.9,31834
2,200,-96.2,41556
2,300,-94.9,51145
2,400,-88.0,60046
2,500,-87.8,68928
2,600,-98.4,78870
2,700,-85.6,87530
2,800,-101.2,97750
