% time spent exploring,episodes,mean 100 episode reward,steps
2,100,-212.3,21092
2,200,-105.1,31705
2,300,-97.7,41572
2,400,-88.3,50501
2,500,-93.9,59990
2,600,-80.7,68164
2,700,-81.4,76403
2,800,-77.8,84288
2,900,-77.6,92144
2,1000,-71.9,99431
