eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
15.5,15.5,-0.024422645568847656,135,1,0.6931470632553101,32,98.60360717773438
24.58,24.58,-0.013036966323852539,954,100,0.6931467652320862,3200,132.49301147460938
23.65,23.65,0.017898380756378174,964,200,0.6931453943252563,6400,136.49977111816406
22.75,22.75,0.002787947654724121,978,300,0.6931353807449341,9600,140.7485809326172
23.81,23.81,-0.021645069122314453,972,400,0.6930903196334839,12800,111.44186401367188
22.47,22.47,-0.003543853759765625,976,500,0.6929415464401245,16000,133.0404510498047
24.63,24.63,-0.010346174240112305,977,600,0.6927024126052856,19200,183.45558166503906
23.06,23.06,0.002233445644378662,976,700,0.6924431920051575,22400,130.06431579589844
22.4,22.4,0.008868515491485596,978,800,0.6927266120910645,25600,256.80426025390625
24.13,24.13,0.011968076229095459,982,900,0.6908339262008667,28800,226.89764404296875
25.49,25.49,0.15283221006393433,985,1000,0.6808786988258362,32000,65.80596160888672
28.3,28.3,0.02119976282119751,985,1100,0.6876607537269592,35200,41.8786735534668
32.82,32.82,0.027488887310028076,986,1200,0.6667123436927795,38400,37.77699279785156
34.64,34.64,0.11601561307907104,983,1300,0.6642389297485352,41600,59.805206298828125
37.03,37.03,0.0447009801864624,982,1400,0.660423755645752,44800,44.639183044433594
41.27,41.27,-0.08524525165557861,983,1500,0.6326137781143188,48000,216.5259246826172
41.95,41.95,0.08103835582733154,982,1600,0.6526889204978943,51200,95.3023452758789
46.47,46.47,0.0848853588104248,981,1700,0.6157418489456177,54400,75.50758361816406
48.69,48.69,0.23348897695541382,982,1800,0.5656983852386475,57600,73.74087524414062
54.64,54.64,0.010184407234191895,982,1900,0.6345333456993103,60800,171.63333129882812
52.74,52.74,0.013346254825592041,981,2000,0.6487752199172974,64000,174.6207733154297
55.22,55.22,0.058588624000549316,982,2100,0.630172610282898,67200,155.09420776367188
63.46,63.46,-0.18406414985656738,983,2200,0.6082324385643005,70400,176.93881225585938
