# {"t_start": 1587332344.1616411, "env_id": "CartPole-v0"} 
r,l,t
41.0,41,6.3899
9.0,9,6.397669
15.0,15,6.409669
19.0,19,6.424682
19.0,19,6.43941
12.0,12,6.448676
23.0,23,6.466029
40.0,40,6.495248
15.0,15,6.509305
34.0,34,6.533188
19.0,19,6.546386
17.0,17,6.558046
13.0,13,6.566891
11.0,11,6.574287
12.0,12,6.582359
12.0,12,6.590442
15.0,15,6.600437
14.0,14,6.609827
19.0,19,6.622479
17.0,17,6.633831
34.0,34,6.656424
10.0,10,6.663162
19.0,19,6.675841
20.0,20,6.694515
36.0,36,6.726305
67.0,67,6.781358
30.0,30,6.808058
12.0,12,6.81848
23.0,23,6.837841
11.0,11,6.846879
11.0,11,6.855754
14.0,14,6.866935
12.0,12,6.876513
19.0,19,6.895733
31.0,31,6.93257
37.0,37,6.966978
31.0,31,6.993378
35.0,35,7.022628
13.0,13,7.033988
15.0,15,7.048177
11.0,11,7.058492
21.0,21,7.077638
10.0,10,7.086727
12.0,12,7.097693
27.0,27,7.122026
18.0,18,7.138454
14.0,14,7.155252
22.0,22,7.175485
21.0,21,7.194901
27.0,27,7.219666
13.0,13,7.232002
23.0,23,7.253829
18.0,18,7.270911
14.0,14,7.284127
13.0,13,7.2964
24.0,24,7.318414
29.0,29,7.34542
17.0,17,7.361315
35.0,35,7.398085
16.0,16,7.4128
21.0,21,7.442186
34.0,34,7.481818
15.0,15,7.496258
22.0,22,7.516775
23.0,23,7.537617
41.0,41,7.581128
21.0,21,7.599387
13.0,13,7.609857
16.0,16,7.62255
19.0,19,7.637482
43.0,43,7.674485
21.0,21,7.691684
13.0,13,7.702546
16.0,16,7.715037
19.0,19,7.729722
24.0,24,7.749258
19.0,19,7.765959
11.0,11,7.774375
12.0,12,7.783562
12.0,12,7.792692
22.0,22,7.811418
21.0,21,7.829084
47.0,47,7.870507
41.0,41,7.900456
14.0,14,7.91035
37.0,37,7.935961
14.0,14,7.945846
16.0,16,7.957015
14.0,14,7.96681
27.0,27,7.985505
21.0,21,8.00025
10.0,10,8.007378
17.0,17,8.019407
14.0,14,8.02935
28.0,28,8.051862
27.0,27,8.069986
13.0,13,8.080412
18.0,18,8.096617
15.0,15,8.110283
30.0,30,8.135729
26.0,26,8.15672
27.0,27,8.177757
12.0,12,8.186938
19.0,19,8.201186
24.0,24,8.218699
17.0,17,8.231024
19.0,19,8.24786
31.0,31,8.269258
10.0,10,8.276061
16.0,16,8.287008
16.0,16,8.297588
12.0,12,8.305772
21.0,21,8.319968
23.0,23,8.335597
12.0,12,8.343728
37.0,37,8.369108
54.0,54,8.405808
13.0,13,8.414968
13.0,13,8.427017
17.0,17,8.4388
10.0,10,8.445761
26.0,26,8.463677
10.0,10,8.470639
14.0,14,8.480392
40.0,40,8.507424
13.0,13,8.516362
21.0,21,8.531015
