eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
25.4,25.4,-0.0031567811965942383,536,1,0.6931458115577698,256,331.2561340332031
21.05,21.05,0.003958702087402344,1091,100,0.6931471824645996,25600,119.59471130371094
23.31,23.31,0.00447535514831543,1054,200,0.6931432485580444,51200,360.8767395019531
21.46,21.46,-0.00083160400390625,1041,300,0.6931152939796448,76800,277.68585205078125
24.3,24.3,0.0008446574211120605,1035,400,0.6930482387542725,102400,250.92665100097656
22.68,22.68,0.004874289035797119,1032,500,0.6928020715713501,128000,200.9827117919922
24.18,24.18,-0.002184152603149414,1028,600,0.6925417184829712,153600,320.4749450683594
23.15,23.15,0.019390642642974854,1026,700,0.6911584138870239,179200,143.5873260498047
24.52,24.52,0.030736207962036133,1025,800,0.6890078783035278,204800,98.34394836425781
27.76,27.76,0.02895641326904297,1023,900,0.6876925826072693,230400,125.43154907226562
27.58,27.58,0.057647645473480225,1022,1000,0.6821837425231934,256000,54.03900909423828
33.69,33.69,0.03890848159790039,1021,1100,0.6694658994674683,281600,123.35671997070312
35.58,35.58,0.01829051971435547,1020,1200,0.6560792326927185,307200,90.01940155029297
40.76,40.76,0.04561483860015869,1020,1300,0.6425395011901855,332800,157.51100158691406
49.42,49.42,0.06568580865859985,1019,1400,0.647500216960907,358400,408.0069885253906
54.58,54.58,0.059913456439971924,1019,1500,0.6372803449630737,384000,169.1119384765625
67.96,67.96,0.015830039978027344,1018,1600,0.641164243221283,409600,935.3649291992188
68.03,68.03,0.034621477127075195,1018,1700,0.6156802177429199,435200,421.0716247558594
79.05,79.05,0.14589166641235352,1018,1800,0.6318691968917847,460800,370.7509765625
75.87,75.87,0.014667034149169922,1017,1900,0.6169798970222473,486400,967.3711547851562
83.66,83.66,0.04403328895568848,1017,2000,0.6167466044425964,512000,320.942138671875
89.29,89.29,0.06734597682952881,1016,2100,0.6166114211082458,537600,641.6712646484375
89.62,89.62,0.18313205242156982,1016,2200,0.6083518862724304,563200,441.056884765625
85.74,85.74,-0.011423468589782715,1016,2300,0.6053645610809326,588800,706.3187866210938
102.87,102.87,0.0759507417678833,1016,2400,0.6101418733596802,614400,535.1307373046875
97.71,97.71,0.23741775751113892,1016,2500,0.6071313619613647,640000,376.0579528808594
113.89,113.89,0.12005412578582764,1015,2600,0.582453727722168,665600,498.976806640625
114.87,114.87,-0.18535864353179932,1015,2700,0.575996458530426,691200,543.9270629882812
112.24,112.24,0.02419590950012207,1015,2800,0.6325797438621521,716800,611.4993896484375
113.56,113.56,0.29319995641708374,1015,2900,0.598896861076355,742400,518.65673828125
125.69,125.69,0.05144643783569336,1015,3000,0.5848082304000854,768000,536.19873046875
118.48,118.48,0.25949740409851074,1015,3100,0.5950433611869812,793600,577.5111694335938
129.06,129.06,0.13427335023880005,1015,3200,0.5707327127456665,819200,633.3872680664062
121.78,121.78,0.06684291362762451,1015,3300,0.5709114670753479,844800,601.1328735351562
128.67,128.67,0.48051565885543823,1015,3400,0.5919543504714966,870400,314.7667541503906
131.41,131.41,0.18566495180130005,1014,3500,0.602822482585907,896000,545.8473510742188
148.18,148.18,0.7817234843969345,1014,3600,0.5909152030944824,921600,236.7432861328125
132.18,132.18,0.12838220596313477,1014,3700,0.5996281504631042,947200,504.0551452636719
142.24,142.24,0.03066432476043701,1014,3800,0.6091275215148926,972800,731.836181640625
151.86,151.86,0.3544504642486572,1014,3900,0.5852359533309937,998400,314.57012939453125
135.23,135.23,0.2582537531852722,1014,4000,0.5908722877502441,1024000,419.0247802734375
146.67,146.67,-0.034781813621520996,1014,4100,0.6075173616409302,1049600,418.15655517578125
152.64,152.64,0.06962060928344727,1014,4200,0.5792492628097534,1075200,604.46435546875
159.67,159.67,0.8638120144605637,1014,4300,0.5557879209518433,1100800,154.4536590576172
155.06,155.06,-0.018040180206298828,1014,4400,0.59976726770401,1126400,682.5018920898438
158.87,158.87,0.7513832151889801,1014,4500,0.560776948928833,1152000,265.23870849609375
159.14,159.14,0.24015212059020996,1014,4600,0.5518831610679626,1177600,635.8612670898438
165.83,165.83,-0.05266094207763672,1014,4700,0.6025105714797974,1203200,445.43121337890625
168.97,168.97,0.2432023286819458,1014,4800,0.5744513869285583,1228800,496.8563537597656
165.55,165.55,0.44335800409317017,1014,4900,0.5794028043746948,1254400,531.5223999023438
162.32,162.32,0.9296236038208008,1014,5000,0.5309842824935913,1280000,205.40402221679688
181.67,181.67,0.8288534283638,1013,5100,0.5664211511611938,1305600,172.6930389404297
183.48,183.48,0.3220542073249817,1013,5200,0.5526437163352966,1331200,532.1841430664062
187.67,187.67,0.8555091023445129,1013,5300,0.59053635597229,1356800,350.54754638671875
178.24,178.24,0.21853876113891602,1013,5400,0.5541326999664307,1382400,388.35137939453125
171.6,171.6,0.817090705037117,1013,5500,0.5564942359924316,1408000,156.09249877929688
174.58,174.58,0.2115539312362671,1013,5600,0.5691232085227966,1433600,937.474609375
181.04,181.04,0.04321110248565674,1013,5700,0.5969809889793396,1459200,605.28515625
186.33,186.33,-0.501537561416626,1013,5800,0.5310628414154053,1484800,722.306884765625
182.25,182.25,-0.08420336246490479,1013,5900,0.5626283288002014,1510400,566.3184204101562
182.64,182.64,0.19824403524398804,1013,6000,0.5470000505447388,1536000,548.9224243164062
186.82,186.82,0.2553969621658325,1013,6100,0.5911997556686401,1561600,480.9686584472656
169.15,169.15,0.8301472663879395,1013,6200,0.5727571249008179,1587200,216.54226684570312
175.65,175.65,-0.050945162773132324,1013,6300,0.5692667961120605,1612800,475.72125244140625
178.53,178.53,0.44129616022109985,1013,6400,0.5775867104530334,1638400,479.0264892578125
196.76,196.76,0.427794873714447,1013,6500,0.6108429431915283,1664000,440.84368896484375
198.6,198.6,-0.04902613162994385,1013,6600,0.5754513740539551,1689600,657.0134887695312
197.68,197.68,0.47978705167770386,1013,6700,0.5500500202178955,1715200,386.802001953125
196.05,196.05,0.03400176763534546,1013,6800,0.5870349407196045,1740800,632.9729614257812
190.43,190.43,0.3397781252861023,1013,6900,0.543795645236969,1766400,370.23358154296875
194.01,194.01,0.577925443649292,1013,7000,0.5940821766853333,1792000,191.42247009277344
181.44,181.44,0.2051350474357605,1013,7100,0.5812593102455139,1817600,551.1627807617188
195.5,195.5,0.09134900569915771,1013,7200,0.5921109914779663,1843200,819.7237548828125
198.17,198.17,0.014448344707489014,1013,7300,0.5708930492401123,1868800,479.85992431640625
198.56,198.56,-0.030863285064697266,1013,7400,0.5763903260231018,1894400,491.6425476074219
196.93,196.93,-0.19344937801361084,1013,7500,0.5992048382759094,1920000,668.689697265625
192.35,192.35,0.1536126732826233,1013,7600,0.5867866277694702,1945600,395.3321228027344
195.22,195.22,-0.09806883335113525,1013,7700,0.5922523140907288,1971200,525.8494262695312
188.5,188.5,0.14705032110214233,1013,7800,0.567703127861023,1996800,582.10400390625
197.4,197.4,0.1278495192527771,1013,7900,0.576922595500946,2022400,478.4635925292969
183.72,183.72,0.1257680058479309,1013,8000,0.5703582167625427,2048000,714.06787109375
194.72,194.72,-0.029973864555358887,1013,8100,0.557202160358429,2073600,544.4070434570312
195.06,195.06,0.07202756404876709,1013,8200,0.5702376365661621,2099200,681.77392578125
193.93,193.93,0.09003502130508423,1012,8300,0.5686543583869934,2124800,396.0925598144531
186.33,186.33,-0.03172755241394043,1012,8400,0.5869458317756653,2150400,870.80810546875
182.21,182.21,0.017783284187316895,1012,8500,0.5835965871810913,2176000,399.46368408203125
182.52,182.52,0.4005642533302307,1012,8600,0.5669753551483154,2201600,301.4587707519531
178.52,178.52,0.036385178565979004,1012,8700,0.5790089964866638,2227200,654.0221557617188
182.68,182.68,-0.03430938720703125,1012,8800,0.5707308053970337,2252800,731.5291748046875
186.8,186.8,-0.00928807258605957,1012,8900,0.5543078184127808,2278400,608.5116577148438
179.52,179.52,0.2594888210296631,1012,9000,0.5228550434112549,2304000,493.5172119140625
191.54,191.54,-0.03692185878753662,1012,9100,0.5519320964813232,2329600,503.0889587402344
185.04,185.04,0.028474807739257812,1012,9200,0.5782965421676636,2355200,514.1513671875
175.15,175.15,0.39741235971450806,1012,9300,0.54395592212677,2380800,419.3529357910156
179.05,179.05,0.3902665972709656,1012,9400,0.5983362197875977,2406400,322.0889587402344
188.05,188.05,0.10579133033752441,1012,9500,0.5840262770652771,2432000,614.6224975585938
192.25,192.25,-0.0031284093856811523,1012,9600,0.596064567565918,2457600,805.7296142578125
198.42,198.42,-0.06757032871246338,1012,9700,0.5666269063949585,2483200,624.6614990234375
197.39,197.39,0.604098379611969,1012,9800,0.586495578289032,2508800,290.37322998046875
189.63,189.63,0.08423560857772827,1012,9900,0.6045602560043335,2534400,551.1093139648438
186.71,186.71,0.3561897873878479,1012,10000,0.5528466701507568,2560000,298.9918212890625
194.93,194.93,0.075802743434906,1012,10100,0.5834499597549438,2585600,631.2986450195312
189.71,189.71,0.31713348627090454,1012,10200,0.5679195523262024,2611200,292.4485168457031
191.9,191.9,0.292325496673584,1012,10300,0.5966092944145203,2636800,348.0074157714844
191.83,191.83,0.34050631523132324,1012,10400,0.5789748430252075,2662400,482.70599365234375
188.02,188.02,-0.05988478660583496,1012,10500,0.5720434188842773,2688000,558.5096435546875
187.39,187.39,-0.008542537689208984,1012,10600,0.5823066234588623,2713600,578.0738525390625
191.0,191.0,0.3049617409706116,1012,10700,0.5111925601959229,2739200,525.6170043945312
187.38,187.38,0.123660147190094,1012,10800,0.59028160572052,2764800,715.326416015625
192.54,192.54,0.09634870290756226,1012,10900,0.5946141481399536,2790400,611.0914916992188
195.39,195.39,0.05148392915725708,1012,11000,0.5586634874343872,2816000,432.5798034667969
193.48,193.48,0.2928813099861145,1012,11100,0.5336914658546448,2841600,391.6153259277344
185.59,185.59,0.022772908210754395,1012,11200,0.553475022315979,2867200,652.5297241210938
183.66,183.66,0.0034053921699523926,1012,11300,0.5659399628639221,2892800,608.9239501953125
181.03,181.03,-0.022662878036499023,1012,11400,0.5772607326507568,2918400,682.3983154296875
183.74,183.74,0.5041682124137878,1012,11500,0.5722442865371704,2944000,251.68075561523438
187.18,187.18,0.27350497245788574,1012,11600,0.5733864903450012,2969600,591.9302368164062
196.92,196.92,0.11881780624389648,1012,11700,0.5811429023742676,2995200,426.6345520019531
197.73,197.73,-0.019585132598876953,1012,11800,0.5476194620132446,3020800,415.6343078613281
191.09,191.09,0.18328535556793213,1012,11900,0.5450097918510437,3046400,337.083251953125
172.33,172.33,0.7002575397491455,1012,12000,0.5894995331764221,3072000,157.51998901367188
172.19,172.19,0.16916388273239136,1012,12100,0.5363667011260986,3097600,846.9273681640625
160.1,160.1,0.5451038479804993,1012,12200,0.5618519186973572,3123200,269.4710998535156
182.02,182.02,0.5120988488197327,1012,12300,0.6191332340240479,3148800,306.5530700683594
180.63,180.63,0.07619386911392212,1012,12400,0.595945417881012,3174400,1032.7398681640625
194.32,194.32,0.38004499673843384,1012,12500,0.558193027973175,3200000,565.830322265625
193.31,193.31,0.471957802772522,1012,12600,0.5647163391113281,3225600,244.69839477539062
192.54,192.54,-0.044538140296936035,1012,12700,0.616289496421814,3251200,762.279296875
195.47,195.47,-0.05585825443267822,1012,12800,0.5768162608146667,3276800,1021.0748291015625
194.92,194.92,0.356725811958313,1012,12900,0.5521111488342285,3302400,590.722900390625
196.68,196.68,-0.03877460956573486,1012,13000,0.5794400572776794,3328000,943.3096923828125
199.73,199.73,0.21361082792282104,1012,13100,0.5724233388900757,3353600,509.2483215332031
198.52,198.52,0.33428895473480225,1012,13200,0.5404149889945984,3379200,693.11328125
198.27,198.27,0.06872004270553589,1012,13300,0.5827841758728027,3404800,561.2767944335938
199.34,199.34,0.27412211894989014,1012,13400,0.5553926825523376,3430400,289.9256896972656
198.23,198.23,-0.1324518918991089,1012,13500,0.5754157304763794,3456000,739.0332641601562
198.06,198.06,-0.1182863712310791,1012,13600,0.566001296043396,3481600,1192.020263671875
187.32,187.32,-0.25153064727783203,1012,13700,0.5585814714431763,3507200,706.7650146484375
185.67,185.67,0.0956602692604065,1012,13800,0.5704088807106018,3532800,879.8623046875
187.44,187.44,0.5691147446632385,1012,13900,0.6092000007629395,3558400,380.9893493652344
190.31,190.31,0.6730960607528687,1012,14000,0.5762148499488831,3584000,236.25790405273438
189.09,189.09,0.5825032591819763,1012,14100,0.6045554876327515,3609600,300.0982666015625
191.64,191.64,0.0383608341217041,1012,14200,0.5606895089149475,3635200,650.557861328125
194.59,194.59,0.37535297870635986,1012,14300,0.5209092497825623,3660800,564.0170288085938
198.28,198.28,0.12067466974258423,1012,14400,0.6235259771347046,3686400,664.36865234375
197.85,197.85,0.12092018127441406,1012,14500,0.5346705317497253,3712000,734.9627075195312
196.95,196.95,0.23854202032089233,1012,14600,0.5810341238975525,3737600,449.789306640625
195.49,195.49,0.12219959497451782,1012,14700,0.5604420304298401,3763200,598.8723754882812
198.02,198.02,0.5851535797119141,1012,14800,0.571445882320404,3788800,200.0082550048828
196.12,196.12,-0.22177886962890625,1012,14900,0.6041216254234314,3814400,527.7470703125
197.33,197.33,0.25556284189224243,1012,15000,0.5167436599731445,3840000,457.7100830078125
190.73,190.73,0.06174659729003906,1012,15100,0.5944591164588928,3865600,405.1642150878906
197.82,197.82,-0.058318138122558594,1012,15200,0.5808801651000977,3891200,527.7173461914062
196.28,196.28,0.40291136503219604,1012,15300,0.5340062379837036,3916800,319.0803527832031
195.75,195.75,0.25729018449783325,1012,15400,0.5546239614486694,3942400,294.6415100097656
193.1,193.1,0.21446949243545532,1012,15500,0.5609620809555054,3968000,436.8371887207031
195.64,195.64,0.3512367606163025,1012,15600,0.5424143075942993,3993600,387.0787658691406
195.8,195.8,0.48428964614868164,1012,15700,0.5722010135650635,4019200,605.5660400390625
196.4,196.4,0.490572988986969,1011,15800,0.5235762596130371,4044800,210.60601806640625
189.53,189.53,-0.1098252534866333,1011,15900,0.5557498931884766,4070400,751.9356689453125
189.63,189.63,0.2476770281791687,1011,16000,0.6165751218795776,4096000,417.8594665527344
183.91,183.91,0.17453926801681519,1011,16100,0.5396232604980469,4121600,589.6879272460938
190.03,190.03,-0.05711793899536133,1011,16200,0.5371555685997009,4147200,677.2269897460938
196.01,196.01,0.3212076425552368,1011,16300,0.5088137984275818,4172800,496.5914306640625
194.09,194.09,0.5635232031345367,1011,16400,0.4719885587692261,4198400,280.1575927734375
193.42,193.42,0.3501291871070862,1011,16500,0.5933612585067749,4224000,365.5763244628906
192.63,192.63,0.0058193206787109375,1011,16600,0.5465795397758484,4249600,531.0811157226562
194.97,194.97,0.09704279899597168,1011,16700,0.5579023361206055,4275200,455.5718994140625
193.99,193.99,-0.274799108505249,1011,16800,0.597948431968689,4300800,898.3720703125
189.77,189.77,-0.057616472244262695,1011,16900,0.5677354335784912,4326400,749.5550537109375
193.02,193.02,0.13876569271087646,1011,17000,0.5496572852134705,4352000,655.7130737304688
194.73,194.73,-0.0844583511352539,1011,17100,0.5309404134750366,4377600,753.2098388671875
193.27,193.27,0.11270153522491455,1011,17200,0.5803574323654175,4403200,616.1683959960938
192.68,192.68,-0.02868497371673584,1011,17300,0.5515859127044678,4428800,594.6373291015625
191.88,191.88,0.5269008278846741,1011,17400,0.5342392325401306,4454400,377.12042236328125
192.74,192.74,0.518261581659317,1011,17500,0.5546766519546509,4480000,214.86691284179688
193.25,193.25,0.019801557064056396,1011,17600,0.5724858045578003,4505600,495.8020324707031
184.0,184.0,0.25130677223205566,1011,17700,0.5674779415130615,4531200,360.688232421875
182.21,182.21,0.664710134267807,1011,17800,0.5775052905082703,4556800,247.98220825195312
176.14,176.14,0.05344963073730469,1011,17900,0.5512791872024536,4582400,504.2999267578125
184.87,184.87,-0.03766202926635742,1011,18000,0.5934416055679321,4608000,528.7017211914062
187.73,187.73,0.19725346565246582,1011,18100,0.5383564829826355,4633600,612.0084838867188
196.82,196.82,0.03673350811004639,1011,18200,0.5583712458610535,4659200,633.454833984375
196.27,196.27,0.14562952518463135,1011,18300,0.5021910071372986,4684800,482.7252502441406
192.82,192.82,0.0631301999092102,1011,18400,0.5270141363143921,4710400,431.421142578125
195.29,195.29,0.21443140506744385,1011,18500,0.5721899271011353,4736000,560.7337036132812
195.52,195.52,-0.1534963846206665,1011,18600,0.5855840444564819,4761600,743.2374877929688
194.79,194.79,0.08269768953323364,1011,18700,0.46338340640068054,4787200,648.1553955078125
195.07,195.07,0.7391831874847412,1011,18800,0.5746257901191711,4812800,166.32611083984375
190.49,190.49,0.21819770336151123,1011,18900,0.5840257406234741,4838400,649.8985595703125
192.82,192.82,0.19201338291168213,1011,19000,0.5525255799293518,4864000,396.199462890625
192.83,192.83,0.09442585706710815,1011,19100,0.5451253652572632,4889600,453.27606201171875
189.06,189.06,0.03983217477798462,1011,19200,0.5351091623306274,4915200,689.9910888671875
189.85,189.85,-0.003989219665527344,1011,19300,0.5261882543563843,4940800,580.72216796875
195.79,195.79,-0.035698890686035156,1011,19400,0.5614836812019348,4966400,624.4788208007812
196.04,196.04,0.07146865129470825,1011,19500,0.576922595500946,4992000,638.1259765625
194.71,194.71,0.03398752212524414,1011,19600,0.5727382302284241,5017600,659.3160400390625
196.14,196.14,0.05132603645324707,1011,19700,0.539885401725769,5043200,489.3146667480469
191.63,191.63,-0.2580273151397705,1011,19800,0.5470076203346252,5068800,800.5335083007812
197.29,197.29,0.1683252453804016,1011,19900,0.5213271379470825,5094400,357.073486328125
191.33,191.33,0.053573548793792725,1011,20000,0.537632942199707,5120000,458.1686096191406
195.17,195.17,-0.06145608425140381,1011,20100,0.5686447620391846,5145600,610.9826049804688
195.85,195.85,0.21197056770324707,1011,20200,0.5549740195274353,5171200,573.9910888671875
196.68,196.68,0.282781720161438,1011,20300,0.5927788615226746,5196800,344.8838195800781
196.45,196.45,0.3116686940193176,1011,20400,0.546671986579895,5222400,534.4749755859375
194.41,194.41,0.16838663816452026,1011,20500,0.5947026610374451,5248000,418.41448974609375
194.32,194.32,0.06329578161239624,1011,20600,0.5802037119865417,5273600,519.1827392578125
189.57,189.57,0.3344404697418213,1011,20700,0.5505491495132446,5299200,478.1871032714844
193.29,193.29,-0.11106061935424805,1011,20800,0.518328070640564,5324800,669.5402221679688
184.79,184.79,0.38873934745788574,1011,20900,0.5395680665969849,5350400,428.2762756347656
191.79,191.79,0.46290403604507446,1011,21000,0.522046685218811,5376000,308.0774230957031
185.43,185.43,0.0031478404998779297,1011,21100,0.5456053614616394,5401600,493.0833740234375
192.85,192.85,0.1391385793685913,1011,21200,0.5410718321800232,5427200,603.0360107421875
189.52,189.52,0.17730474472045898,1011,21300,0.5691219568252563,5452800,417.9088439941406
195.46,195.46,0.5053933560848236,1011,21400,0.5634636282920837,5478400,411.6953430175781
191.71,191.71,0.12808942794799805,1011,21500,0.5999125838279724,5504000,370.8433837890625
191.11,191.11,-0.12635087966918945,1011,21600,0.5607717633247375,5529600,625.9848022460938
190.06,190.06,0.013688445091247559,1011,21700,0.553284764289856,5555200,610.0726928710938
192.55,192.55,0.32054680585861206,1011,21800,0.5725218653678894,5580800,543.13623046875
199.54,199.54,0.09441787004470825,1011,21900,0.583844006061554,5606400,603.885986328125
195.68,195.68,0.12605810165405273,1011,22000,0.5501116514205933,5632000,708.214111328125
194.43,194.43,0.23683840036392212,1011,22100,0.5884414911270142,5657600,486.6236267089844
192.25,192.25,0.5571481883525848,1010,22200,0.5983965396881104,5683200,290.43927001953125
197.75,197.75,0.5700027048587799,1010,22300,0.5707454681396484,5708800,211.65184020996094
190.06,190.06,-0.2519568204879761,1010,22400,0.5466827750205994,5734400,729.63037109375
194.14,194.14,0.17383766174316406,1010,22500,0.5549197196960449,5760000,557.6698608398438
194.08,194.08,0.020749032497406006,1010,22600,0.5722191333770752,5785600,837.4210815429688
189.3,189.3,-0.16972506046295166,1010,22700,0.5611648559570312,5811200,547.6626586914062
192.9,192.9,0.04438203573226929,1010,22800,0.5574610829353333,5836800,803.826904296875
195.64,195.64,0.019841372966766357,1010,22900,0.56279057264328,5862400,751.1363525390625
198.62,198.62,0.1309923529624939,1010,23000,0.50527423620224,5888000,517.0908203125
193.54,193.54,0.3287493586540222,1010,23100,0.5510678291320801,5913600,306.2470703125
192.63,192.63,0.34615153074264526,1010,23200,0.5721490383148193,5939200,445.854736328125
192.43,192.43,0.1869102120399475,1010,23300,0.5873469710350037,5964800,587.6201782226562
193.57,193.57,0.2726532220840454,1010,23400,0.502077579498291,5990400,893.3485717773438
188.33,188.33,0.02534043788909912,1010,23500,0.5485131740570068,6016000,507.8678283691406
193.01,193.01,0.5706818699836731,1010,23600,0.5852547883987427,6041600,240.18814086914062
184.29,184.29,0.35545164346694946,1010,23700,0.5100867748260498,6067200,458.36480712890625
191.74,191.74,-0.21367645263671875,1010,23800,0.5712633728981018,6092800,627.5609741210938
195.25,195.25,0.020528316497802734,1010,23900,0.5237586498260498,6118400,570.2539672851562
195.68,195.68,0.007131993770599365,1010,24000,0.588071346282959,6144000,699.6787109375
193.41,193.41,0.4821404218673706,1010,24100,0.5230453014373779,6169600,422.12225341796875
194.2,194.2,0.45389652252197266,1010,24200,0.5231324434280396,6195200,244.8960723876953
197.29,197.29,-0.09874331951141357,1010,24300,0.5643419027328491,6220800,562.0271606445312
194.97,194.97,0.06850463151931763,1010,24400,0.5313547253608704,6246400,468.0125427246094
187.86,187.86,0.04346764087677002,1010,24500,0.4520511031150818,6272000,748.03173828125
197.31,197.31,0.7511018663644791,1010,24600,0.5809089541435242,6297600,134.43553161621094
195.91,195.91,0.28928470611572266,1010,24700,0.5200217366218567,6323200,368.8772888183594
196.31,196.31,0.2833714485168457,1010,24800,0.5582178235054016,6348800,393.5721740722656
194.35,194.35,-0.27911055088043213,1010,24900,0.4959053695201874,6374400,1094.723876953125
190.94,190.94,0.4078545570373535,1010,25000,0.531237781047821,6400000,411.58807373046875
191.38,191.38,0.021709322929382324,1010,25100,0.574437141418457,6425600,503.15484619140625
190.4,190.4,0.4107235074043274,1010,25200,0.5549906492233276,6451200,412.6123352050781
197.19,197.19,-0.009567499160766602,1010,25300,0.6018789410591125,6476800,756.5264892578125
193.94,193.94,0.6652150452136993,1010,25400,0.5500407218933105,6502400,292.333251953125
193.96,193.96,0.3083198666572571,1010,25500,0.5689056515693665,6528000,597.2990112304688
195.02,195.02,0.43147146701812744,1010,25600,0.5456447005271912,6553600,256.384033203125
191.53,191.53,-0.35874855518341064,1010,25700,0.542474091053009,6579200,1000.698974609375
193.92,193.92,0.06814372539520264,1010,25800,0.49576690793037415,6604800,420.764892578125
194.21,194.21,-0.0010873079299926758,1010,25900,0.5632715821266174,6630400,517.605224609375
189.1,189.1,0.006979405879974365,1010,26000,0.5122369527816772,6656000,596.6405639648438
194.96,194.96,0.5443034470081329,1010,26100,0.5639370083808899,6681600,484.3021240234375
184.16,184.16,0.3815422058105469,1010,26200,0.5788465738296509,6707200,436.1878356933594
192.49,192.49,0.4400492310523987,1010,26300,0.5371663570404053,6732800,411.09368896484375
191.17,191.17,-0.30555617809295654,1010,26400,0.5564104318618774,6758400,656.4189453125
193.64,193.64,-0.00813150405883789,1010,26500,0.5340076684951782,6784000,878.4489135742188
191.56,191.56,-0.04248178005218506,1010,26600,0.53628009557724,6809600,674.50537109375
197.85,197.85,-0.02596580982208252,1010,26700,0.5894973278045654,6835200,692.71044921875
198.25,198.25,0.008394360542297363,1010,26800,0.5882211923599243,6860800,487.2250061035156
193.78,193.78,-0.2429487705230713,1010,26900,0.5375099182128906,6886400,885.3905639648438
190.58,190.58,0.7330585420131683,1010,27000,0.5081892013549805,6912000,150.3665008544922
197.19,197.19,0.5533886253833771,1011,27100,0.5418702960014343,6937600,260.8700256347656
190.35,190.35,0.4543856382369995,1011,27200,0.4462869465351105,6963200,260.6476135253906
195.13,195.13,-0.044483304023742676,1011,27300,0.5789709687232971,6988800,530.6441650390625
192.82,192.82,0.10867661237716675,1011,27400,0.4747562110424042,7014400,534.2734375
190.64,190.64,0.5054885149002075,1011,27500,0.5524389743804932,7040000,281.2416076660156
196.68,196.68,0.20825082063674927,1011,27600,0.5155572891235352,7065600,559.83154296875
190.3,190.3,-0.1853950023651123,1011,27700,0.5787650346755981,7091200,742.969482421875
191.04,191.04,0.281271755695343,1011,27800,0.5730116367340088,7116800,515.7716674804688
187.19,187.19,0.7210383713245392,1011,27900,0.5398828983306885,7142400,155.9724884033203
192.86,192.86,0.05574613809585571,1011,28000,0.5711581110954285,7168000,667.47216796875
