% time spent exploring,episodes,mean 100 episode reward,steps
80,100,-200.0,19799
60,200,-200.0,39799
41,300,-200.0,59799
21,400,-200.0,79799
2,500,-200.0,99799
2,600,-200.0,119799
2,700,-199.9,139790
2,800,-198.5,159637
2,900,-199.2,179557
2,1000,-198.3,199391
2,1100,-200.0,219387
