# {"env_id": "Acrobot-v1", "t_start": 1587198240.893895} 
r,l,t
-500.0,500,2.001824
-500.0,500,2.297065
-500.0,500,4.615591
-500.0,500,6.85339
-500.0,500,9.077678
-500.0,500,11.28809
-500.0,500,13.502182
-500.0,500,15.719027
-500.0,500,17.957186
-500.0,500,20.192265
-265.0,266,21.389806
-408.0,409,23.217839
-500.0,500,25.462317
-288.0,289,26.753087
-303.0,304,28.114075
-413.0,414,29.966021
-192.0,193,30.829663
-232.0,233,31.870281
-191.0,192,32.732714
-166.0,167,33.48013
-251.0,252,34.606711
-121.0,122,35.154761
-222.0,223,36.15427
-169.0,170,36.922903
-118.0,119,37.455244
-120.0,121,37.99651
-124.0,125,38.557248
-203.0,204,39.464413
-500.0,500,41.701255
-500.0,500,43.925574
-500.0,500,46.160231
-500.0,500,48.391988
-353.0,354,49.966683
-226.0,227,50.978742
-193.0,194,51.840818
-85.0,86,52.229486
-116.0,117,52.750702
-81.0,82,53.116997
-81.0,82,53.482383
-84.0,85,53.859903
-189.0,190,54.707418
-268.0,269,55.911886
-470.0,471,58.014675
-168.0,169,58.7676
-500.0,500,61.002046
-116.0,117,61.523016
-162.0,163,62.251481
-247.0,248,63.356877
-100.0,101,63.816877
-102.0,103,64.276435
-125.0,126,64.840806
-76.0,77,65.184873
-224.0,225,66.195622
-500.0,500,68.448471
-122.0,123,68.997842
-500.0,500,71.239925
-104.0,105,71.715183
-134.0,135,72.321599
-87.0,88,72.715806
-345.0,346,74.268818
-244.0,245,75.370988
-238.0,239,76.445348
-223.0,224,77.451265
-85.0,86,77.838544
-164.0,165,78.577737
-116.0,117,79.101984
-119.0,120,79.645307
-152.0,153,80.332217
-83.0,84,80.708709
-81.0,82,81.078263
-62.0,63,81.361483
-111.0,112,81.865172
-97.0,98,82.305385
-88.0,89,82.7038
-104.0,105,83.184481
-108.0,109,83.675009
-105.0,106,84.15546
-104.0,105,84.627339
-117.0,118,85.15884
-100.0,101,85.613177
-278.0,279,86.86825
-77.0,78,87.228711
-82.0,83,87.603601
-94.0,95,88.030504
-122.0,123,88.587899
-170.0,171,89.358593
-176.0,177,90.153864
-112.0,113,90.661928
-131.0,132,91.260262
-500.0,500,93.512031
-158.0,159,94.227903
-500.0,500,96.488007
-159.0,160,97.216432
-78.0,79,97.575455
-104.0,105,98.053018
-218.0,219,99.055208
-101.0,102,99.518096
-80.0,81,99.884362
-75.0,76,100.227285
-60.0,61,100.504154
-93.0,94,100.930442
-74.0,75,101.272063
-147.0,148,101.942141
-125.0,126,102.513718
-500.0,500,104.789237
-500.0,500,107.068115
-293.0,294,108.402601
-194.0,195,109.289386
-285.0,286,110.589478
-96.0,97,111.030162
-395.0,396,112.822387
-126.0,127,113.399958
-92.0,93,113.820786
-92.0,93,114.24188
-106.0,107,114.728569
-60.0,61,115.004062
-109.0,110,115.50031
-89.0,90,115.906292
-85.0,86,116.293696
-183.0,184,117.125341
-111.0,112,117.629515
-187.0,188,118.480915
-500.0,500,120.738925
-256.0,257,121.899388
-118.0,119,122.439729
-500.0,500,124.696045
-263.0,264,125.896418
-213.0,214,126.875127
-272.0,273,128.112168
-132.0,133,128.717063
-100.0,101,129.178833
-104.0,105,129.6557
-239.0,240,130.753621
-89.0,90,131.161498
-108.0,109,131.655735
-123.0,124,132.21747
-86.0,87,132.61357
-97.0,98,133.111238
-285.0,286,134.414605
-158.0,159,135.139275
-243.0,244,136.24915
-147.0,148,136.92383
-478.0,479,139.102913
-355.0,356,140.725871
-362.0,363,142.382518
-196.0,197,143.27975
-309.0,310,144.691275
-101.0,102,145.156717
-73.0,74,145.494663
-139.0,140,146.134162
-96.0,97,146.577704
-74.0,75,146.924583
-113.0,114,147.444022
-112.0,113,147.961455
-70.0,71,148.288758
-85.0,86,148.680961
-90.0,91,149.095006
-75.0,76,149.447626
-63.0,64,149.742071
-75.0,76,150.08838
-75.0,76,150.434
-89.0,90,150.843559
-77.0,78,151.197705
-164.0,165,151.946874
-75.0,76,152.29173
-92.0,93,152.713392
-75.0,76,153.058456
-162.0,163,153.798437
-84.0,85,154.183861
-71.0,72,154.509964
-86.0,87,154.903467
-91.0,92,155.320236
-83.0,84,155.704682
-87.0,88,156.104455
-84.0,85,156.489805
-101.0,102,156.951468
-111.0,112,157.459944
-149.0,150,158.141657
-75.0,76,158.485588
-77.0,78,158.838583
-193.0,194,159.720038
-74.0,75,160.059943
-275.0,276,161.309522
-139.0,140,161.948846
-82.0,83,162.325181
-83.0,84,162.705161
-71.0,72,163.031614
-120.0,121,163.580605
-89.0,90,163.989097
-139.0,140,164.624351
-76.0,77,164.974205
-83.0,84,165.3548
-72.0,73,165.684771
-89.0,90,166.091599
-82.0,83,166.466334
-94.0,95,166.8952
-79.0,80,167.260595
-82.0,83,167.635732
-93.0,94,168.061658
-83.0,84,168.442924
-96.0,97,168.883856
-73.0,74,169.220294
-77.0,78,169.574272
-74.0,75,169.915283
-86.0,87,170.309978
-91.0,92,170.726977
-94.0,95,171.158184
-75.0,76,171.50326
-83.0,84,171.88417
-76.0,77,172.234046
-92.0,93,172.655657
-139.0,140,173.28994
-85.0,86,173.678505
-71.0,72,174.003946
-98.0,99,174.451336
-80.0,81,174.821359
-62.0,63,175.106751
-90.0,91,175.519916
-95.0,96,175.953107
-77.0,78,176.30619
-98.0,99,176.754931
-84.0,85,177.139087
-74.0,75,177.479326
-95.0,96,177.911379
-124.0,125,178.485155
-113.0,114,179.001561
-92.0,93,179.424302
-95.0,96,179.857553
-106.0,107,180.341892
-99.0,100,180.794521
-97.0,98,181.238799
-90.0,91,181.650314
-89.0,90,182.061343
-76.0,77,182.410259
-180.0,181,183.229196
-77.0,78,183.582504
-77.0,78,183.93553
-77.0,78,184.288695
-71.0,72,184.613572
-70.0,71,184.934622
-85.0,86,185.325458
-74.0,75,185.664172
-69.0,70,185.981388
-71.0,72,186.307163
-73.0,74,186.640933
-86.0,87,187.035749
-92.0,93,187.456942
-83.0,84,187.84006
-63.0,64,188.129508
-64.0,65,188.423699
-102.0,103,188.889252
-121.0,122,189.44167
-89.0,90,189.849539
-65.0,66,190.149147
-97.0,98,190.591256
-115.0,116,191.117933
-116.0,117,191.645809
-71.0,72,191.971043
-92.0,93,192.391165
-82.0,83,192.766678
-63.0,64,193.056803
-92.0,93,193.476996
-74.0,75,193.816038
-71.0,72,194.142438
-73.0,74,194.476497
-93.0,94,194.902024
-71.0,72,195.228181
-75.0,76,195.572269
-85.0,86,195.959953
-94.0,95,196.38958
-63.0,64,196.678811
-91.0,92,197.095658
-102.0,103,197.560496
-63.0,64,197.848703
-95.0,96,198.286185
-114.0,115,198.806939
-98.0,99,199.254386
-69.0,70,199.573591
-87.0,88,199.970961
-93.0,94,200.395723
-78.0,79,200.752216
-75.0,76,201.095447
-110.0,111,201.596044
-62.0,63,201.881257
-96.0,97,202.318486
-93.0,94,202.744172
-75.0,76,203.087873
-63.0,64,203.377236
-93.0,94,203.80065
-182.0,183,204.629022
-63.0,64,204.918485
-89.0,90,205.328623
-86.0,87,205.720383
-151.0,152,206.406913
-90.0,91,206.818967
-92.0,93,207.238619
-112.0,113,207.748883
-84.0,85,208.131992
-128.0,129,208.715826
-70.0,71,209.035662
-102.0,103,209.500288
-77.0,78,209.853286
-85.0,86,210.242099
-86.0,87,210.635177
-78.0,79,210.991552
-113.0,114,211.504828
-85.0,86,211.893225
-88.0,89,212.295489
-83.0,84,212.676678
-104.0,105,213.150848
-96.0,97,213.588549
-82.0,83,213.962569
-92.0,93,214.383044
-76.0,77,214.731468
-94.0,95,215.160194
-69.0,70,215.475466
-85.0,86,215.86389
-99.0,100,216.31606
-95.0,96,216.749536
-84.0,85,217.13247
-87.0,88,217.529386
-70.0,71,217.849396
-74.0,75,218.188981
-85.0,86,218.584991
-70.0,71,218.90638
-103.0,104,219.378021
-71.0,72,219.705942
-83.0,84,220.087595
-79.0,80,220.452052
-97.0,98,220.896278
-63.0,64,221.187257
-90.0,91,221.601239
-114.0,115,222.12451
-77.0,78,222.479351
-80.0,81,222.851633
-81.0,82,223.222714
-77.0,78,223.584916
-77.0,78,223.939293
-75.0,76,224.284542
-112.0,113,224.803029
-105.0,106,225.283587
-76.0,77,225.634271
-124.0,125,226.207721
-109.0,110,226.707346
-96.0,97,227.148682
-98.0,99,227.598197
-75.0,76,227.944533
-108.0,109,228.44206
-75.0,76,228.787698
-128.0,129,229.373582
-63.0,64,229.664204
-141.0,142,230.311998
-97.0,98,230.757792
-72.0,73,231.089463
-93.0,94,231.516792
-83.0,84,231.903645
-76.0,77,232.253901
-69.0,70,232.571225
-63.0,64,232.862816
-81.0,82,233.235845
-77.0,78,233.590614
-80.0,81,233.95944
-63.0,64,234.250752
-60.0,61,234.527368
-71.0,72,234.854657
-95.0,96,235.291149
-70.0,71,235.614183
-133.0,134,236.224111
-91.0,92,236.641669
-70.0,71,236.964051
-104.0,105,237.441737
-86.0,87,237.838196
-96.0,97,238.279179
-84.0,85,238.664831
-75.0,76,239.010637
-143.0,144,239.66607
-92.0,93,240.090655
-125.0,126,240.662567
-69.0,70,240.981236
-94.0,95,241.413668
-63.0,64,241.704679
-84.0,85,242.091581
-62.0,63,242.377004
-77.0,78,242.731919
-75.0,76,243.077389
-77.0,78,243.432554
-98.0,99,243.883737
-70.0,71,244.205862
-95.0,96,244.643006
-70.0,71,244.969704
-76.0,77,245.319824
-91.0,92,245.737558
-89.0,90,246.146616
-62.0,63,246.433566
-94.0,95,246.865424
-87.0,88,247.265399
-68.0,69,247.579709
-62.0,63,247.866199
-86.0,87,248.26173
-91.0,92,248.679302
-77.0,78,249.03418
-75.0,76,249.382886
-62.0,63,249.669582
-74.0,75,250.010643
-62.0,63,250.296517
-89.0,90,250.705413
-85.0,86,251.096175
-62.0,63,251.383279
-88.0,89,251.788265
-71.0,72,252.114372
-78.0,79,252.47341
-87.0,88,252.873705
-71.0,72,253.202174
-70.0,71,253.52596
-94.0,95,253.958121
-71.0,72,254.285902
-105.0,106,254.767637
-72.0,73,255.100122
-64.0,65,255.396311
-70.0,71,255.719491
-84.0,85,256.106464
-71.0,72,256.433436
-74.0,75,256.774063
-74.0,75,257.115462
-76.0,77,257.465283
-105.0,106,257.948507
-63.0,64,258.239759
-74.0,75,258.580931
-75.0,76,258.925489
-107.0,108,259.417433
-70.0,71,259.741174
-63.0,64,260.032843
-94.0,95,260.464426
-92.0,93,260.886411
-93.0,94,261.314547
-87.0,88,261.714436
-101.0,102,262.178065
-70.0,71,262.501509
-117.0,118,263.036755
-69.0,70,263.355267
-71.0,72,263.683952
-104.0,105,264.161041
-65.0,66,264.462222
-75.0,76,264.806783
-74.0,75,265.14952
-69.0,70,265.469079
-69.0,70,265.787242
-74.0,75,266.128792
-69.0,70,266.448472
-70.0,71,266.770277
-72.0,73,267.104497
-105.0,106,267.586573
-108.0,109,268.081673
-80.0,81,268.454053
-63.0,64,268.744423
-70.0,71,269.076901
-75.0,76,269.422808
-80.0,81,269.791292
-77.0,78,270.14464
-70.0,71,270.467889
-77.0,78,270.82378
-90.0,91,271.241404
-85.0,86,271.632156
-78.0,79,271.991938
-62.0,63,272.278731
-70.0,71,272.60082
-76.0,77,272.952077
-71.0,72,273.279725
-78.0,79,273.639574
-72.0,73,273.97029
-76.0,77,274.320806
-75.0,76,274.666576
-86.0,87,275.063056
-79.0,80,275.427233
-60.0,61,275.704764
-87.0,88,276.10543
-81.0,82,276.478248
-72.0,73,276.811277
-97.0,98,277.257267
-98.0,99,277.706898
-86.0,87,278.101962
-81.0,82,278.473296
-92.0,93,278.897204
-90.0,91,279.310934
-99.0,100,279.765313
-92.0,93,280.187615
-70.0,71,280.511165
-82.0,83,280.88904
-103.0,104,281.361576
-101.0,102,281.825566
-69.0,70,282.144021
-105.0,106,282.6261
-78.0,79,282.98752
-98.0,99,283.438591
-94.0,95,283.870039
-69.0,70,284.188893
-62.0,63,284.476001
-73.0,74,284.813746
-87.0,88,285.215423
-77.0,78,285.571353
-109.0,110,286.072038
-91.0,92,286.489638
-107.0,108,286.981709
-102.0,103,287.452868
-69.0,70,287.77027
-89.0,90,288.180244
-75.0,76,288.527305
-75.0,76,288.873035
-93.0,94,289.300125
-91.0,92,289.718109
-81.0,82,290.090459
-63.0,64,290.38207
-75.0,76,290.728806
-63.0,64,291.019634
-76.0,77,291.370018
-87.0,88,291.770479
-128.0,129,292.357543
-71.0,72,292.685711
-73.0,74,293.020885
-72.0,73,293.353723
-92.0,93,293.778197
-76.0,77,294.129414
-67.0,68,294.44154
-71.0,72,294.774685
-74.0,75,295.117306
-86.0,87,295.514511
-63.0,64,295.808034
-62.0,63,296.09636
-78.0,79,296.45815
-76.0,77,296.809798
