% time spent exploring,episodes,mean 100 episode reward,steps
2,100,-247.0,24534
2,200,-119.8,36605
2,300,-84.3,45136
2,400,-96.8,54916
2,500,-84.9,63502
2,600,-81.6,71760
2,700,-78.9,79750
2,800,-76.4,87491
2,900,-75.8,95167
