# {"t_start": 1587193964.5433397, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.04912
-500.0,500,2.347498
-500.0,500,4.69136
-500.0,500,6.9475
-500.0,500,9.192778
-500.0,500,11.452167
-500.0,500,13.71076
-500.0,500,15.961559
-500.0,500,18.219439
-500.0,500,20.470794
-500.0,500,22.725869
-500.0,500,24.974714
-500.0,500,27.230336
-329.0,330,28.717955
-500.0,500,30.978354
-172.0,173,31.757876
-500.0,500,34.017477
-500.0,500,36.273179
-500.0,500,38.538915
-500.0,500,40.794149
-500.0,500,43.055804
-95.0,96,43.49079
-500.0,500,45.751741
-211.0,212,46.707534
-500.0,500,48.971875
-238.0,239,50.051154
-128.0,129,50.632855
-162.0,163,51.36864
-109.0,110,51.865111
-108.0,109,52.361794
-124.0,125,52.930936
-128.0,129,53.517181
-220.0,221,54.516372
-111.0,112,55.021878
-122.0,123,55.578476
-493.0,494,57.815275
-366.0,367,59.473422
-147.0,148,60.142112
-265.0,266,61.353936
-127.0,128,61.931202
-158.0,159,62.650136
-134.0,135,63.260769
-114.0,115,63.780774
-199.0,200,64.693116
-141.0,142,65.335677
-135.0,136,65.950526
-478.0,479,68.118841
-372.0,373,69.798391
-500.0,500,72.060222
-500.0,500,74.328102
-362.0,363,75.973989
-173.0,174,76.765818
-219.0,220,77.763429
-128.0,129,78.350182
-83.0,84,78.731308
-143.0,144,79.384385
-500.0,500,81.659875
-500.0,500,83.929281
-500.0,500,86.208304
-214.0,215,87.189511
-500.0,500,89.464074
-489.0,490,91.687794
-124.0,125,92.259796
-97.0,98,92.705246
-83.0,84,93.086852
-110.0,111,93.590575
-83.0,84,93.972594
-101.0,102,94.438197
-101.0,102,94.902092
-131.0,132,95.501229
-98.0,99,95.955264
-103.0,104,96.431903
-88.0,89,96.836804
-100.0,101,97.295204
-500.0,500,99.571023
-143.0,144,100.232147
-200.0,201,101.145585
-201.0,202,102.070276
-89.0,90,102.479492
-134.0,135,103.092742
-114.0,115,103.615685
-118.0,119,104.168167
-288.0,289,105.487893
-97.0,98,105.936738
-105.0,106,106.419477
-141.0,142,107.066911
-62.0,63,107.353133
-74.0,75,107.695368
-101.0,102,108.170503
-97.0,98,108.61599
-90.0,91,109.031098
-119.0,120,109.57865
-99.0,100,110.034292
-103.0,104,110.507494
-135.0,136,111.124897
-127.0,128,111.708536
-281.0,282,112.994317
-201.0,202,113.913967
-330.0,331,115.419279
-211.0,212,116.395852
-500.0,500,118.67221
-107.0,108,119.16365
-157.0,158,119.894324
-143.0,144,120.548153
-93.0,94,120.976274
-88.0,89,121.381325
-75.0,76,121.728887
-100.0,101,122.187469
-128.0,129,122.775742
-100.0,101,123.235109
-268.0,269,124.463762
-142.0,143,125.114434
-101.0,102,125.580429
-214.0,215,126.558962
-96.0,97,127.004088
-278.0,279,128.279191
-116.0,117,128.811406
-181.0,182,129.64405
-68.0,69,129.95777
-74.0,75,130.298405
-118.0,119,130.838935
-150.0,151,131.533171
-86.0,87,131.928825
-78.0,79,132.287321
-102.0,103,132.756409
-114.0,115,133.280494
-95.0,96,133.717861
-79.0,80,134.134383
-86.0,87,134.531552
-263.0,264,135.738129
-303.0,304,137.125645
-105.0,106,137.609331
-301.0,302,138.986262
-241.0,242,140.093211
-236.0,237,141.175068
-327.0,328,142.67299
-213.0,214,143.656626
-387.0,388,145.434727
-226.0,227,146.469415
-87.0,88,146.872535
-73.0,74,147.210394
-76.0,77,147.562727
-91.0,92,147.984467
-103.0,104,148.460107
-123.0,124,149.027794
-85.0,86,149.420524
-74.0,75,149.764245
-91.0,92,150.184924
-76.0,77,150.536849
-94.0,95,150.971336
-74.0,75,151.314408
-86.0,87,151.711178
-148.0,149,152.389259
-107.0,108,152.882572
-130.0,131,153.484738
-78.0,79,153.844806
-86.0,87,154.241318
-75.0,76,154.588691
-99.0,100,155.044637
-98.0,99,155.49523
-325.0,326,156.985096
-72.0,73,157.317026
-66.0,67,157.622139
-76.0,77,157.973824
-83.0,84,158.358119
-115.0,116,158.888493
-67.0,68,159.200053
-78.0,79,159.561566
-77.0,78,159.917953
-80.0,81,160.287538
-84.0,85,160.675896
-94.0,95,161.109454
-68.0,69,161.424795
-97.0,98,161.876433
-61.0,62,162.158485
-90.0,91,162.574702
-92.0,93,163.000311
-90.0,91,163.414742
-92.0,93,163.839458
-63.0,64,164.13097
-100.0,101,164.593227
-103.0,104,165.070642
-76.0,77,165.422306
-93.0,94,165.851599
-72.0,73,166.184975
-80.0,81,166.555057
-64.0,65,166.85152
-74.0,75,167.19246
-77.0,78,167.548208
-64.0,65,167.848331
-76.0,77,168.200031
-182.0,183,169.035245
-103.0,104,169.509165
-82.0,83,169.887656
-84.0,85,170.275562
-74.0,75,170.619347
-91.0,92,171.038053
-74.0,75,171.380047
-77.0,78,171.736264
-74.0,75,172.078981
-77.0,78,172.435652
-143.0,144,173.094053
-75.0,76,173.439711
-82.0,83,173.818203
-94.0,95,174.252813
-130.0,131,174.850772
-83.0,84,175.235012
-94.0,95,175.668824
-75.0,76,176.016583
-103.0,104,176.493165
-69.0,70,176.812803
-71.0,72,177.14232
-76.0,77,177.494899
-63.0,64,177.786083
-93.0,94,178.216068
-76.0,77,178.567784
-224.0,225,179.594326
-91.0,92,180.022326
-77.0,78,180.379791
-62.0,63,180.667372
-70.0,71,180.995755
-92.0,93,181.42082
-71.0,72,181.748618
-77.0,78,182.106715
-95.0,96,182.547645
-77.0,78,182.903926
-71.0,72,183.231812
-69.0,70,183.551534
-117.0,118,184.091568
-89.0,90,184.503988
-94.0,95,184.936323
-71.0,72,185.268104
-71.0,72,185.595405
-72.0,73,185.93102
-84.0,85,186.319602
-87.0,88,186.722068
-63.0,64,187.013561
-88.0,89,187.420473
-62.0,63,187.709104
-83.0,84,188.092803
-82.0,83,188.471918
-78.0,79,188.832428
-86.0,87,189.229551
-105.0,106,189.713155
-93.0,94,190.144088
-63.0,64,190.435604
-86.0,87,190.832187
-106.0,107,191.321091
-86.0,87,191.71826
-129.0,130,192.313144
-74.0,75,192.659208
-79.0,80,193.024762
-74.0,75,193.3672
-74.0,75,193.710463
-110.0,111,194.218889
-70.0,71,194.543373
-88.0,89,194.948692
-76.0,77,195.300449
-99.0,100,195.758703
-92.0,93,196.183713
-70.0,71,196.508668
-81.0,82,196.882917
-80.0,81,197.252998
-116.0,117,197.787874
-96.0,97,198.230973
-75.0,76,198.578137
-63.0,64,198.870223
-76.0,77,199.221001
-156.0,157,199.939223
-80.0,81,200.309067
-79.0,80,200.675206
-84.0,85,201.064268
-94.0,95,201.498547
-80.0,81,201.869325
-63.0,64,202.160735
-104.0,105,202.64028
-116.0,117,203.174401
-94.0,95,203.60948
-74.0,75,203.952273
-85.0,86,204.344963
-77.0,78,204.699699
-76.0,77,205.052128
-92.0,93,205.47789
-77.0,78,205.83443
-79.0,80,206.199968
-91.0,92,206.619601
-62.0,63,206.907049
-82.0,83,207.290357
-80.0,81,207.661395
-95.0,96,208.098743
-79.0,80,208.463998
-101.0,102,208.930066
-62.0,63,209.218263
-77.0,78,209.575065
-62.0,63,209.862737
-75.0,76,210.213976
-75.0,76,210.560031
-68.0,69,210.875195
-79.0,80,211.24074
-82.0,83,211.620924
-87.0,88,212.022002
-110.0,111,212.529531
-130.0,131,213.127744
-65.0,66,213.430187
-76.0,77,213.781815
-99.0,100,214.238772
-174.0,175,215.037653
-75.0,76,215.385424
-110.0,111,215.891678
-162.0,163,216.637132
-62.0,63,216.924
-323.0,324,218.408834
-75.0,76,218.754781
-81.0,82,219.119319
-118.0,119,219.664087
-114.0,115,220.189882
-434.0,435,222.185702
-134.0,135,222.804386
-99.0,100,223.262449
-99.0,100,223.720858
-90.0,91,224.137933
-101.0,102,224.605149
-90.0,91,225.023036
-84.0,85,225.41306
-118.0,119,225.966465
-449.0,450,228.028929
-168.0,169,228.803817
-101.0,102,229.275713
-298.0,299,230.647209
-94.0,95,231.083191
-107.0,108,231.579929
-70.0,71,231.90451
-161.0,162,232.648182
-76.0,77,233.001218
-86.0,87,233.399748
-78.0,79,233.662324
-86.0,87,233.83714
-69.0,70,233.976738
-90.0,91,234.163945
-68.0,69,234.301589
-500.0,500,235.314318
-75.0,76,235.46722
-83.0,84,235.643548
-79.0,80,235.804708
-104.0,105,236.01774
-76.0,77,236.171724
-63.0,64,236.300769
-92.0,93,236.490411
-500.0,500,237.503544
-64.0,65,237.633475
-85.0,86,237.805049
-85.0,86,237.982534
-132.0,133,238.248747
-94.0,95,238.44032
-96.0,97,238.637209
-85.0,86,238.810453
-87.0,88,238.987936
-94.0,95,239.178113
-92.0,93,239.36413
-93.0,94,239.557861
-81.0,82,239.722583
-94.0,95,239.91711
-93.0,94,240.105865
-74.0,75,240.25602
-79.0,80,240.420127
-69.0,70,240.562637
-76.0,77,240.719903
-68.0,69,240.860773
-75.0,76,241.013492
-102.0,103,241.221541
-99.0,100,241.423224
-74.0,75,241.575728
-86.0,87,241.750475
-110.0,111,241.973953
-76.0,77,242.132012
-95.0,96,242.327988
-70.0,71,242.470376
-110.0,111,242.693667
-79.0,80,242.855201
-88.0,89,243.033978
-70.0,71,243.177081
-87.0,88,243.355238
-74.0,75,243.505784
-74.0,75,243.656868
-101.0,102,243.86401
-112.0,113,244.09558
-76.0,77,244.25107
-85.0,86,244.428962
-86.0,87,244.604112
-69.0,70,244.743663
-76.0,77,244.900259
-92.0,93,245.085629
-102.0,103,245.292247
-78.0,79,245.450413
-85.0,86,245.625219
-89.0,90,245.810898
-98.0,99,246.009872
-77.0,78,246.16668
-62.0,63,246.294034
-98.0,99,246.493321
-83.0,84,246.662665
-76.0,77,246.821966
-99.0,100,247.023451
-86.0,87,247.197115
-72.0,73,247.34391
-112.0,113,247.569928
-77.0,78,247.728207
-94.0,95,247.919946
-112.0,113,248.145929
-74.0,75,248.298505
-86.0,87,248.474311
-82.0,83,248.64112
-80.0,81,248.804544
-95.0,96,248.997195
-88.0,89,249.176752
-88.0,89,249.356122
-71.0,72,249.500943
-114.0,115,249.733254
-75.0,76,249.885401
-114.0,115,250.116847
-99.0,100,250.317493
-133.0,134,250.585822
-75.0,76,250.738926
-76.0,77,250.893361
-63.0,64,251.022333
-103.0,104,251.232007
-69.0,70,251.371422
-78.0,79,251.528771
-90.0,91,251.713419
-107.0,108,251.929689
-88.0,89,252.11105
-91.0,92,252.296977
-62.0,63,252.42367
-138.0,139,252.702064
-124.0,125,252.951307
-62.0,63,253.076716
-70.0,71,253.218255
-86.0,87,253.392954
-73.0,74,253.541923
-117.0,118,253.779905
-69.0,70,253.919887
-97.0,98,254.11803
-78.0,79,254.275435
-128.0,129,254.536378
-94.0,95,254.725648
-94.0,95,254.915763
-115.0,116,255.149178
-72.0,73,255.295413
-69.0,70,255.434965
-76.0,77,255.592034
-76.0,77,255.745468
-97.0,98,255.941572
-90.0,91,256.123949
-69.0,70,256.267311
-83.0,84,256.435436
-84.0,85,256.607454
-95.0,96,256.798601
-93.0,94,256.991944
-163.0,164,257.32779
-69.0,70,257.469327
-126.0,127,257.724979
-70.0,71,257.868955
-74.0,75,258.019658
-108.0,109,258.238298
-117.0,118,258.474732
-86.0,87,258.649316
-78.0,79,258.806888
-63.0,64,258.939641
-91.0,92,259.124991
-75.0,76,259.276648
-70.0,71,259.42191
-70.0,71,259.563804
-62.0,63,259.690446
-61.0,62,259.81448
-102.0,103,260.026488
-73.0,74,260.176465
-77.0,78,260.332737
-87.0,88,260.511397
-82.0,83,260.677013
-63.0,64,260.804711
-77.0,78,260.961899
-68.0,69,261.099386
-69.0,70,261.23886
-90.0,91,261.423284
-91.0,92,261.608749
-75.0,76,261.761739
-62.0,63,261.888661
-77.0,78,262.046445
-73.0,74,262.204771
-69.0,70,262.350888
-79.0,80,262.517744
-72.0,73,262.666855
-94.0,95,262.857999
-70.0,71,263.001436
-89.0,90,263.182553
-78.0,79,263.341534
-94.0,95,263.532875
-86.0,87,263.708622
-62.0,63,263.837774
-86.0,87,264.013735
-75.0,76,264.167685
-95.0,96,264.3658
-94.0,95,264.557626
-63.0,64,264.687895
-83.0,84,264.858685
-90.0,91,265.041177
-61.0,62,265.165459
-86.0,87,265.344741
-97.0,98,265.543906
-85.0,86,265.715949
-63.0,64,265.844713
-83.0,84,266.016448
-90.0,91,266.198274
-71.0,72,266.347173
-83.0,84,266.515022
-62.0,63,266.641686
-79.0,80,266.804825
-68.0,69,266.94847
-64.0,65,267.086302
-83.0,84,267.260427
-78.0,79,267.418989
-70.0,71,267.564358
-83.0,84,267.736482
-87.0,88,267.912657
-95.0,96,268.105765
-62.0,63,268.23716
-76.0,77,268.392014
-106.0,107,268.609591
-97.0,98,268.810758
-84.0,85,268.981576
-70.0,71,269.12487
-70.0,71,269.270519
-71.0,72,269.418175
-85.0,86,269.596602
-71.0,72,269.745654
-76.0,77,269.902472
-76.0,77,270.060831
-76.0,77,270.220788
-102.0,103,270.428142
