# {"t_start": 1587332358.6028597, "env_id": "CartPole-v0"} 
r,l,t
15.0,15,1.121829
13.0,13,1.132772
20.0,20,1.151154
18.0,18,1.166522
22.0,22,1.184216
51.0,51,1.226555
20.0,20,1.242827
12.0,12,1.252871
14.0,14,1.26484
12.0,12,1.275023
20.0,20,1.292121
23.0,23,1.312059
20.0,20,1.381017
11.0,11,1.390837
27.0,27,1.414627
18.0,18,1.430206
10.0,10,1.438397
23.0,23,1.45779
17.0,17,1.471095
11.0,11,1.479863
24.0,24,1.500898
27.0,27,1.524824
13.0,13,1.535938
29.0,29,1.560821
34.0,34,1.588196
11.0,11,1.601037
39.0,39,1.634026
15.0,15,1.647008
18.0,18,1.662657
55.0,55,1.708056
34.0,34,1.738342
12.0,12,1.748493
17.0,17,1.76282
20.0,20,1.779933
13.0,13,1.791355
25.0,25,1.811791
16.0,16,1.828044
22.0,22,1.846802
15.0,15,1.861301
12.0,12,1.873181
49.0,49,1.913351
30.0,30,1.93883
17.0,17,1.954603
29.0,29,1.979842
22.0,22,1.998565
12.0,12,2.008189
21.0,21,2.025556
22.0,22,2.048759
21.0,21,2.066333
13.0,13,2.076072
21.0,21,2.092165
26.0,26,2.11408
14.0,14,2.126906
10.0,10,2.135638
25.0,25,2.159606
23.0,23,2.178022
41.0,41,2.213159
35.0,35,2.241621
24.0,24,2.263523
11.0,11,2.27258
20.0,20,2.288738
14.0,14,2.300913
16.0,16,2.31449
40.0,40,2.348355
31.0,31,2.373747
57.0,57,2.423026
18.0,18,2.438497
14.0,14,2.450191
25.0,25,2.47138
23.0,23,2.493486
12.0,12,2.503567
13.0,13,2.515044
33.0,33,2.543562
15.0,15,2.556189
20.0,20,2.574236
22.0,22,2.59237
45.0,45,2.633927
15.0,15,2.646431
29.0,29,2.670961
20.0,20,2.688945
15.0,15,2.701425
25.0,25,2.725444
24.0,24,2.745644
16.0,16,2.759474
13.0,13,2.770359
20.0,20,2.787047
14.0,14,2.797802
20.0,20,2.814131
15.0,15,2.826404
16.0,16,2.840144
28.0,28,2.863762
24.0,24,2.884526
20.0,20,2.90129
50.0,50,2.947233
26.0,26,2.969108
29.0,29,2.992224
13.0,13,3.003863
32.0,32,3.033699
11.0,11,3.042633
48.0,48,3.084828
12.0,12,3.095205
39.0,39,3.128217
12.0,12,3.144504
14.0,14,3.161184
23.0,23,3.179757
23.0,23,3.199126
11.0,11,3.209041
10.0,10,3.217901
16.0,16,3.23124
18.0,18,3.245722
17.0,17,3.259886
35.0,35,3.288471
15.0,15,3.300552
18.0,18,3.315459
20.0,20,3.331679
28.0,28,3.355643
11.0,11,3.36539
12.0,12,3.379154
14.0,14,3.390681
33.0,33,3.418013
11.0,11,3.426764
34.0,34,3.454955
22.0,22,3.47167
12.0,12,3.482431
24.0,24,3.502536
16.0,16,3.515527
51.0,51,3.558174
21.0,21,3.57496
16.0,16,3.591091
