# {"env_id": "Acrobot-v1", "t_start": 1587200523.503698} 
r,l,t
-500.0,500,2.0836
-500.0,500,2.382004
-500.0,500,4.738527
-500.0,500,7.005586
-500.0,500,9.278
-237.0,238,10.358942
-252.0,253,11.508697
-323.0,324,12.981959
-500.0,500,15.256011
-500.0,500,17.526357
-495.0,496,19.785187
-296.0,297,21.13528
-475.0,476,23.304354
-500.0,500,25.576926
-298.0,299,26.936893
-324.0,325,28.417215
-343.0,344,29.98687
-170.0,171,30.763203
-258.0,259,31.938982
-336.0,337,33.475969
-346.0,347,35.056788
-247.0,248,36.185994
-198.0,199,37.090897
-262.0,263,38.288935
-280.0,281,39.56956
-165.0,166,40.32464
-156.0,157,41.043469
-163.0,164,41.791261
-111.0,112,42.300548
-148.0,149,42.978972
-205.0,206,43.922771
-141.0,142,44.568505
-178.0,179,45.386175
-175.0,176,46.186874
-500.0,500,48.464581
-407.0,408,50.326266
-500.0,500,52.608294
-246.0,247,53.736065
-114.0,115,54.263363
-126.0,127,54.843169
-240.0,241,55.941107
-264.0,265,57.152463
-124.0,125,57.722055
-95.0,96,58.158982
-91.0,92,58.579013
-80.0,81,58.950273
-102.0,103,59.419793
-177.0,178,60.22996
-256.0,257,61.403094
-500.0,500,63.684356
-500.0,500,65.967138
-410.0,411,67.845303
-261.0,262,69.041559
-102.0,103,69.510089
-119.0,120,70.05787
-105.0,106,70.543853
-118.0,119,71.087554
-94.0,95,71.521191
-92.0,93,71.945784
-103.0,104,72.422212
-100.0,101,72.884766
-96.0,97,73.335719
-115.0,116,73.865847
-96.0,97,74.311593
-145.0,146,74.97983
-112.0,113,75.496656
-125.0,126,76.07422
-500.0,500,78.365329
-500.0,500,80.65393
-443.0,444,82.689968
-108.0,109,83.189211
-77.0,78,83.547052
-83.0,84,83.932047
-82.0,83,84.313822
-95.0,96,84.751952
-111.0,112,85.265278
-84.0,85,85.655029
-91.0,92,86.077353
-107.0,108,86.574051
-186.0,187,87.431585
-108.0,109,87.930598
-102.0,103,88.403474
-207.0,208,89.358098
-132.0,133,89.968339
