# {"t_start": 1587195509.1062384, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.117306
-500.0,500,2.407109
-500.0,500,4.717968
-500.0,500,6.941586
-500.0,500,9.167394
-500.0,500,11.393472
-500.0,500,13.631868
-500.0,500,15.869611
-500.0,500,18.11633
-500.0,500,20.364203
-442.0,443,22.35425
-266.0,267,23.55342
-221.0,222,24.549801
-321.0,322,25.99424
-264.0,265,27.184578
-438.0,439,29.15896
-390.0,391,30.915476
-364.0,365,32.55493
-245.0,246,33.662263
-251.0,252,34.795461
-184.0,185,35.625481
-150.0,151,36.307336
-381.0,382,38.024699
-500.0,500,40.274637
-500.0,500,42.533382
-500.0,500,44.788119
-224.0,225,45.803823
-174.0,175,46.593364
-116.0,117,47.121145
-500.0,500,49.380005
-186.0,187,50.227176
-500.0,500,52.483232
-467.0,468,54.59891
-500.0,500,56.859946
-500.0,500,59.107334
-135.0,136,59.719305
-202.0,203,60.633183
-206.0,207,61.565828
-231.0,232,62.608743
-355.0,356,64.210312
-500.0,500,66.459666
-398.0,399,68.256713
-500.0,500,70.509475
-500.0,500,72.759417
-500.0,500,75.018618
-106.0,107,75.501563
-156.0,157,76.213053
-143.0,144,76.861476
-408.0,409,78.7063
-115.0,116,79.230829
-148.0,149,79.901977
-169.0,170,80.671377
-500.0,500,82.922824
-121.0,122,83.469973
-262.0,263,84.653035
-170.0,171,85.420664
-242.0,243,86.509518
-338.0,339,88.030627
-500.0,500,90.270071
-266.0,267,91.468667
-252.0,253,92.606375
-94.0,95,93.032696
-292.0,293,94.351182
-284.0,285,95.631079
-195.0,196,96.510834
-118.0,119,97.044276
-122.0,123,97.594718
-334.0,335,99.099578
-85.0,86,99.487691
-91.0,92,99.904663
-90.0,91,100.31303
-352.0,353,101.898463
-203.0,204,102.814627
-500.0,500,105.060313
-500.0,500,107.309336
-383.0,384,109.035411
-500.0,500,111.284927
-423.0,424,113.197956
-75.0,76,113.539607
-173.0,174,114.323919
-79.0,80,114.683078
-175.0,176,115.475415
-500.0,500,117.735653
-500.0,500,119.994249
-500.0,500,122.245397
-484.0,485,124.430991
-427.0,428,126.361095
-351.0,352,127.953917
-97.0,98,128.394209
-168.0,169,129.164702
-214.0,215,130.141519
-101.0,102,130.606005
-105.0,106,131.091204
-149.0,150,131.77442
-401.0,402,133.605241
-500.0,500,135.872838
-98.0,99,136.32069
-87.0,88,136.719248
-200.0,201,137.632018
-109.0,110,138.130511
-164.0,165,138.880645
-426.0,427,140.816316
-406.0,407,142.662868
-93.0,94,143.08862
-83.0,84,143.469782
-139.0,140,144.10481
-137.0,138,144.730014
-87.0,88,145.132571
-500.0,500,147.405244
-132.0,133,148.013032
-264.0,265,149.217017
-117.0,118,149.752358
-219.0,220,150.7525
-116.0,117,151.285545
-384.0,385,153.032575
-172.0,173,153.818568
-158.0,159,154.545641
-80.0,81,154.913706
-70.0,71,155.237036
-176.0,177,156.041394
-107.0,108,156.532211
-88.0,89,156.937027
-75.0,76,157.283599
-96.0,97,157.723695
-98.0,99,158.174009
-96.0,97,158.614906
-121.0,122,159.169716
-193.0,194,160.053277
-117.0,118,160.588659
-71.0,72,160.91679
-83.0,84,161.298703
-391.0,392,163.082066
-193.0,194,163.962364
-196.0,197,164.858064
-125.0,126,165.429255
-103.0,104,165.901838
-99.0,100,166.358922
-82.0,83,166.735173
-143.0,144,167.388823
-80.0,81,167.756429
-75.0,76,168.101935
-76.0,77,168.45054
-83.0,84,168.836193
-84.0,85,169.222838
-94.0,95,169.654547
-73.0,74,169.991791
-72.0,73,170.322416
-74.0,75,170.663795
-73.0,74,171.001196
-77.0,78,171.354716
-73.0,74,171.695432
-75.0,76,172.041168
-73.0,74,172.376264
-99.0,100,172.830925
-94.0,95,173.262509
-77.0,78,173.617543
-86.0,87,174.013334
-93.0,94,174.4436
-214.0,215,175.421275
-93.0,94,175.848464
-73.0,74,176.184068
-84.0,85,176.571093
-151.0,152,177.259845
-87.0,88,177.65962
-72.0,73,177.993288
-171.0,172,178.831282
-106.0,107,179.319688
-93.0,94,179.748253
-95.0,96,180.184402
-77.0,78,180.54177
-109.0,110,181.044422
-74.0,75,181.386871
-87.0,88,181.791685
-77.0,78,182.147538
-82.0,83,182.526132
-97.0,98,182.972766
-84.0,85,183.360507
-74.0,75,183.70231
-133.0,134,184.311531
-92.0,93,184.736722
-99.0,100,185.191742
-91.0,92,185.610612
-91.0,92,186.027883
-75.0,76,186.375133
-106.0,107,186.862185
-74.0,75,187.204417
-88.0,89,187.613778
-73.0,74,187.950327
-97.0,98,188.398207
-82.0,83,188.776457
-74.0,75,189.122251
-77.0,78,189.478088
-106.0,107,189.965972
-73.0,74,190.302913
-99.0,100,190.757745
-83.0,84,191.139013
-74.0,75,191.482015
-118.0,119,192.023408
-94.0,95,192.457999
-167.0,168,193.222035
-83.0,84,193.605469
-80.0,81,193.975183
-88.0,89,194.381914
-72.0,73,194.713835
-63.0,64,195.004882
-93.0,94,195.432631
-94.0,95,195.865533
-81.0,82,196.238821
-102.0,103,196.707371
-94.0,95,197.140018
-107.0,108,197.631643
-71.0,72,197.959329
-163.0,164,198.706502
-74.0,75,199.049038
-85.0,86,199.441036
-64.0,65,199.737827
-117.0,118,200.27653
-102.0,103,200.747863
-135.0,136,201.368484
-83.0,84,201.752248
-89.0,90,202.162463
-95.0,96,202.599205
-84.0,85,202.987164
-77.0,78,203.342091
-94.0,95,203.778049
-94.0,95,204.212387
-74.0,75,204.552747
-92.0,93,204.977279
-74.0,75,205.319066
-73.0,74,205.656804
-106.0,107,206.145299
-75.0,76,206.49155
-93.0,94,206.91999
-104.0,105,207.398238
-76.0,77,207.74958
-86.0,87,208.147089
-85.0,86,208.538558
-85.0,86,208.9289
-74.0,75,209.270561
-75.0,76,209.620758
-89.0,90,210.030996
-89.0,90,210.440976
-72.0,73,210.773835
-83.0,84,211.15996
-87.0,88,211.561077
-83.0,84,211.945022
-127.0,128,212.52726
-96.0,97,212.969619
-100.0,101,213.429501
