# {"t_start": 1587630217.8474236, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.00713
-500.0,500,2.301927
-500.0,500,4.609744
-500.0,500,6.834709
-500.0,500,9.064317
-500.0,500,11.29178
-500.0,500,13.526249
-500.0,500,15.750637
-500.0,500,17.980394
-500.0,500,20.207804
-500.0,500,22.435379
-201.0,202,23.336094
-386.0,387,25.061203
-173.0,174,25.837427
-194.0,195,26.707471
-245.0,246,27.804279
-500.0,500,30.035738
-500.0,500,32.265636
-500.0,500,34.498674
-196.0,197,35.379765
-162.0,163,36.107808
-171.0,172,36.88181
-215.0,216,37.848554
-376.0,377,39.542539
-268.0,269,40.749599
-483.0,484,42.923603
-220.0,221,43.916358
-500.0,500,46.164425
-236.0,237,47.231321
-500.0,500,49.49147
-500.0,500,51.744187
-500.0,500,53.991512
-354.0,355,55.589141
-206.0,207,56.521431
-114.0,115,57.03729
-182.0,183,57.862402
-191.0,192,58.727537
-173.0,174,59.509316
-287.0,288,60.805994
-500.0,500,63.052991
-500.0,500,65.30392
-500.0,500,67.551234
-405.0,406,69.379483
-179.0,180,70.18803
-199.0,200,71.087367
-179.0,180,71.9009
-500.0,500,74.155936
-356.0,357,75.765632
-158.0,159,76.483055
-130.0,131,77.073634
-257.0,258,78.241032
-500.0,500,80.493016
-500.0,500,82.747367
-500.0,500,85.002378
-500.0,500,87.257092
-500.0,500,89.509607
-500.0,500,91.765025
-161.0,162,92.496378
-132.0,133,93.096071
-99.0,100,93.548308
-100.0,101,94.003437
-218.0,219,94.990254
-500.0,500,97.250687
-500.0,500,99.508963
-370.0,371,101.183131
-407.0,408,103.02349
-167.0,168,103.782856
-130.0,131,104.374052
-104.0,105,104.848087
-78.0,79,105.205036
-70.0,71,105.526687
-81.0,82,105.897118
-80.0,81,106.26312
-84.0,85,106.647686
-75.0,76,106.993492
-99.0,100,107.446318
-93.0,94,107.870432
-101.0,102,108.331896
-272.0,273,109.570692
-315.0,316,111.005025
-500.0,500,113.268384
-408.0,409,115.118554
-500.0,500,117.383164
-135.0,136,117.998966
-73.0,74,118.334924
-106.0,107,118.822039
-133.0,134,119.428523
-79.0,80,119.7909
-123.0,124,120.35164
-63.0,64,120.641313
-72.0,73,120.970876
-77.0,78,121.323649
-63.0,64,121.617818
-129.0,130,122.205666
-259.0,260,123.381285
-92.0,93,123.801763
-107.0,108,124.290438
-90.0,91,124.702017
-93.0,94,125.127179
-317.0,318,126.577716
-76.0,77,126.928739
-70.0,71,127.253936
-103.0,104,127.726653
-88.0,89,128.133235
-70.0,71,128.456927
-85.0,86,128.848759
-61.0,62,129.129421
-82.0,83,129.507923
-71.0,72,129.834182
-81.0,82,130.207667
-76.0,77,130.558637
-96.0,97,131.000835
-115.0,116,131.526614
-101.0,102,131.997341
-96.0,97,132.438637
-96.0,97,132.940923
-89.0,90,133.341702
-94.0,95,133.776401
-126.0,127,134.356422
-235.0,236,135.437725
-106.0,107,135.927344
-84.0,85,136.319081
-87.0,88,136.719835
-87.0,88,137.11907
-85.0,86,137.50908
-94.0,95,137.940239
-92.0,93,138.363491
-85.0,86,138.752162
-85.0,86,139.13924
-78.0,79,139.501264
-91.0,92,139.920254
-99.0,100,140.373917
-71.0,72,140.700597
-63.0,64,140.992576
-71.0,72,141.322214
-109.0,110,141.824743
-100.0,101,142.28187
-93.0,94,142.708786
-102.0,103,143.174748
-142.0,143,143.823051
-94.0,95,144.256191
-83.0,84,144.638778
-96.0,97,145.079885
-102.0,103,145.549461
-97.0,98,146.000401
-148.0,149,146.680371
-92.0,93,147.105886
-105.0,106,147.588769
-78.0,79,147.954159
-87.0,88,148.353783
-70.0,71,148.678075
-102.0,103,149.146556
-91.0,92,149.564341
-76.0,77,149.914547
-97.0,98,150.358277
-70.0,71,150.681164
-93.0,94,151.107914
-104.0,105,151.584732
-104.0,105,152.060666
-64.0,65,152.360239
-88.0,89,152.763066
-95.0,96,153.19854
-88.0,89,153.60311
-442.0,443,155.615467
-156.0,157,156.32742
-242.0,243,157.426653
-294.0,295,158.766167
-138.0,139,159.396963
-105.0,106,159.877741
-151.0,152,160.567277
-71.0,72,160.894078
-92.0,93,161.320229
-75.0,76,161.665153
-93.0,94,162.092334
-97.0,98,162.537603
-76.0,77,162.888019
-73.0,74,163.224567
-71.0,72,163.550871
-99.0,100,164.005682
-91.0,92,164.424085
-136.0,137,165.046882
-62.0,63,165.331992
-500.0,500,167.607324
-105.0,106,168.089507
-79.0,80,168.452359
-262.0,263,169.645006
-84.0,85,170.031884
-277.0,278,171.292821
-154.0,155,171.997848
-87.0,88,172.396741
-117.0,118,172.931985
-185.0,186,173.775563
-99.0,100,174.22939
-77.0,78,174.583879
-101.0,102,175.046358
-71.0,72,175.373914
-77.0,78,175.727769
-71.0,72,176.054498
-62.0,63,176.340718
-86.0,87,176.734599
-75.0,76,177.07967
-84.0,85,177.46494
-70.0,71,177.788361
-88.0,89,178.191004
-75.0,76,178.544119
-75.0,76,178.889095
-342.0,343,180.44577
-85.0,86,180.836316
-152.0,153,181.529033
-195.0,196,182.418037
-204.0,205,183.347527
-86.0,87,183.741728
-96.0,97,184.18126
-168.0,169,184.946923
-120.0,121,185.496435
-74.0,75,185.836715
-85.0,86,186.226984
-102.0,103,186.693521
-224.0,225,187.715142
-75.0,76,188.059686
-62.0,63,188.34443
-115.0,116,188.869905
-85.0,86,189.261206
-90.0,91,189.674298
-216.0,217,190.657097
-86.0,87,191.05205
-89.0,90,191.461175
-78.0,79,191.818077
-189.0,190,192.679838
-449.0,450,194.718122
-145.0,146,195.380539
-332.0,333,196.886609
-129.0,130,197.474074
-332.0,333,198.980778
-263.0,264,200.17288
-78.0,79,200.530684
-102.0,103,200.996726
-92.0,93,201.417647
-88.0,89,201.820691
-74.0,75,202.163635
-101.0,102,202.625778
-88.0,89,203.027298
-63.0,64,203.317219
-62.0,63,203.602736
-82.0,83,203.977629
-91.0,92,204.393619
-76.0,77,204.742606
-76.0,77,205.090687
-63.0,64,205.379945
-125.0,126,205.949777
-78.0,79,206.310365
-166.0,167,207.072172
-109.0,110,207.574486
-93.0,94,208.002954
-77.0,78,208.357736
-427.0,428,210.304701
-377.0,378,212.026965
-75.0,76,212.372369
-114.0,115,212.901057
-78.0,79,213.260232
-88.0,89,213.665849
-110.0,111,214.170954
-62.0,63,214.458927
-80.0,81,214.828204
-70.0,71,215.152089
-91.0,92,215.575882
-74.0,75,215.917825
-81.0,82,216.290561
-70.0,71,216.615208
-89.0,90,217.026031
-90.0,91,217.440836
-82.0,83,217.819614
-79.0,80,218.183069
-86.0,87,218.580845
-94.0,95,219.013142
-85.0,86,219.403944
-70.0,71,219.731473
-94.0,95,220.162699
-71.0,72,220.49139
-103.0,104,220.965297
-83.0,84,221.348033
-111.0,112,221.859093
-78.0,79,222.220181
-81.0,82,222.592249
-79.0,80,222.96105
-78.0,79,223.321398
-93.0,94,223.751679
-102.0,103,224.22076
-71.0,72,224.549353
-79.0,80,224.914311
-74.0,75,225.256324
-81.0,82,225.62976
-74.0,75,225.970832
-100.0,101,226.433527
-103.0,104,226.907223
-93.0,94,227.339977
-90.0,91,227.754804
-73.0,74,228.092312
-64.0,65,228.388996
-71.0,72,228.718163
-99.0,100,229.174505
-87.0,88,229.57618
-85.0,86,229.966771
-103.0,104,230.442663
-105.0,106,230.924079
-70.0,71,231.24666
-83.0,84,231.630859
-104.0,105,232.107113
-98.0,99,232.556032
-100.0,101,233.014967
-97.0,98,233.459469
-72.0,73,233.790192
-72.0,73,234.122081
-97.0,98,234.567391
-77.0,78,234.921835
-72.0,73,235.253433
-83.0,84,235.634881
-86.0,87,236.029686
-86.0,87,236.424617
-81.0,82,236.795959
-252.0,253,237.945438
-75.0,76,238.291387
-73.0,74,238.627132
-72.0,73,238.959267
-92.0,93,239.382213
-87.0,88,239.782748
-63.0,64,240.072298
-70.0,71,240.394969
-63.0,64,240.685365
-71.0,72,241.012763
-107.0,108,241.504131
-102.0,103,241.972318
-74.0,75,242.313735
-77.0,78,242.668257
-75.0,76,243.013875
-72.0,73,243.345162
-89.0,90,243.753732
-86.0,87,244.149505
-99.0,100,244.602603
-79.0,80,244.966234
-77.0,78,245.320524
-78.0,79,245.680282
-81.0,82,246.05162
-63.0,64,246.345253
-85.0,86,246.735734
-83.0,84,247.116818
-75.0,76,247.460414
-83.0,84,247.846316
-123.0,124,248.409733
-106.0,107,248.896173
-80.0,81,249.268166
-63.0,64,249.558975
-93.0,94,249.983782
-95.0,96,250.41983
-63.0,64,250.710919
-92.0,93,251.134023
-94.0,95,251.565983
-85.0,86,251.957114
-74.0,75,252.297384
