eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
26.666666666666668,26.666666666666668,0.0002932548522949219,536,1,0.6931471824645996,256,406.4169616699219
24.15,24.15,-0.00042569637298583984,1017,100,0.6931471824645996,25600,161.83587646484375
22.05,22.05,0.0004379153251647949,987,200,0.693146824836731,51200,134.32980346679688
22.78,22.78,0.0001239180564880371,960,300,0.6931458115577698,76800,360.116943359375
23.43,23.43,-0.0010918378829956055,907,400,0.6931406259536743,102400,162.4625244140625
21.41,21.41,0.002433300018310547,820,500,0.6931242942810059,128000,108.00636291503906
23.62,23.62,0.0014281868934631348,755,600,0.693088710308075,153600,324.58746337890625
22.2,22.2,0.0034596920013427734,718,700,0.6930353045463562,179200,237.2349090576172
20.68,20.68,0.003180086612701416,690,800,0.6927443146705627,204800,253.5028839111328
27.2,27.2,0.001956164836883545,669,900,0.6922715902328491,230400,397.64569091796875
25.11,25.11,0.0025110244750976562,654,1000,0.6911247968673706,256000,422.4425048828125
25.83,25.83,0.006286144256591797,642,1100,0.6897895336151123,281600,338.96484375
24.47,24.47,0.0042909979820251465,631,1200,0.6860290169715881,307200,220.69976806640625
27.25,27.25,0.0033939480781555176,623,1300,0.6870768070220947,332800,340.82769775390625
27.11,27.11,0.012866795063018799,616,1400,0.6830302476882935,358400,234.94752502441406
29.59,29.59,0.010710716247558594,610,1500,0.6823728084564209,384000,232.26345825195312
28.85,28.85,0.01659148931503296,605,1600,0.6796208620071411,409600,220.7516326904297
34.24,34.24,0.0068860650062561035,600,1700,0.6774638891220093,435200,419.7073669433594
30.91,30.91,0.018321514129638672,597,1800,0.6780261993408203,460800,158.53424072265625
34.3,34.3,0.012533009052276611,594,1900,0.6752989292144775,486400,308.9081726074219
29.2,29.2,0.015228688716888428,590,2000,0.6775599718093872,512000,98.57152557373047
29.66,29.66,0.019753336906433105,588,2100,0.6735995411872864,537600,149.93190002441406
33.67,33.67,0.0061490535736083984,586,2200,0.6800833940505981,563200,292.30047607421875
34.1,34.1,0.01920151710510254,584,2300,0.6743206977844238,588800,145.24278259277344
28.75,28.75,0.012522459030151367,582,2400,0.6778528094291687,614400,219.52500915527344
31.9,31.9,0.014577209949493408,581,2500,0.6774595379829407,640000,97.2405014038086
31.23,31.23,0.024430572986602783,579,2600,0.6730556488037109,665600,114.77436065673828
33.96,33.96,0.016493678092956543,577,2700,0.6703327894210815,691200,131.8854217529297
31.07,31.07,0.030020713806152344,575,2800,0.6640391945838928,716800,75.99842834472656
33.32,33.32,0.008459270000457764,572,2900,0.6674361824989319,742400,606.4598388671875
34.79,34.79,0.01204216480255127,571,3000,0.6734066009521484,768000,84.39659881591797
38.85,38.85,0.018359839916229248,569,3100,0.6656268835067749,793600,389.06494140625
36.07,36.07,0.029220879077911377,568,3200,0.6599231958389282,819200,110.43671417236328
37.62,37.62,0.03489828109741211,566,3300,0.6583795547485352,844800,97.25354766845703
37.89,37.89,0.016825616359710693,565,3400,0.6633680462837219,870400,106.48513793945312
40.64,40.64,0.015123546123504639,563,3500,0.655803382396698,896000,165.07925415039062
39.69,39.69,0.010869860649108887,562,3600,0.644460916519165,921600,570.29052734375
42.37,42.37,0.011209368705749512,561,3700,0.6700868010520935,947200,190.52609252929688
45.67,45.67,0.012905776500701904,559,3800,0.6537456512451172,972800,184.1979217529297
43.38,43.38,0.01052558422088623,557,3900,0.6543087363243103,998400,340.8796691894531
43.77,43.77,0.012626945972442627,556,4000,0.6455351710319519,1024000,416.1031494140625
47.3,47.3,0.01663440465927124,555,4100,0.6562046408653259,1049600,259.78265380859375
44.07,44.07,0.019749224185943604,555,4200,0.6358388662338257,1075200,104.55757904052734
47.8,47.8,0.013542711734771729,554,4300,0.6588833332061768,1100800,218.6028289794922
51.04,51.04,0.0032466650009155273,554,4400,0.651436984539032,1126400,879.2859497070312
55.1,55.1,0.02526259422302246,553,4500,0.6411370038986206,1152000,158.8916015625
61.01,61.01,0.019520044326782227,553,4600,0.6548385620117188,1177600,359.41937255859375
49.3,49.3,0.012146711349487305,552,4700,0.6297043561935425,1203200,303.1109313964844
57.87,57.87,0.022294998168945312,552,4800,0.6338500380516052,1228800,356.5134582519531
56.1,56.1,0.015517055988311768,551,4900,0.637692928314209,1254400,572.8510131835938
54.29,54.29,-0.0027937889099121094,551,5000,0.6438944339752197,1280000,264.0802001953125
54.69,54.69,0.03172987699508667,551,5100,0.6385498642921448,1305600,245.7061767578125
60.51,60.51,0.02003800868988037,551,5200,0.6399723887443542,1331200,266.6220397949219
63.7,63.7,0.022236347198486328,550,5300,0.6418102979660034,1356800,422.4579772949219
62.43,62.43,0.027051210403442383,550,5400,0.6334114074707031,1382400,531.4155883789062
61.21,61.21,0.020940661430358887,550,5500,0.6340579390525818,1408000,403.5615234375
59.2,59.2,0.029019176959991455,550,5600,0.6275750398635864,1433600,321.2076721191406
67.85,67.85,0.022694706916809082,550,5700,0.6358754634857178,1459200,336.0561828613281
68.54,68.54,0.03304105997085571,550,5800,0.6123987436294556,1484800,248.0592498779297
70.98,70.98,0.008391022682189941,549,5900,0.6434934735298157,1510400,841.7706909179688
62.64,62.64,0.04007983207702637,549,6000,0.6322298049926758,1536000,269.19781494140625
73.87,73.87,0.021817445755004883,549,6100,0.6482248902320862,1561600,488.7127685546875
71.19,71.19,0.016502439975738525,549,6200,0.6369984149932861,1587200,696.734130859375
76.06,76.06,0.008017003536224365,549,6300,0.6374927163124084,1612800,410.1883850097656
65.57,65.57,0.012476861476898193,548,6400,0.631051242351532,1638400,306.15899658203125
76.14,76.14,0.07931959629058838,548,6500,0.6349890232086182,1664000,485.9746398925781
68.42,68.42,0.04654163122177124,548,6600,0.6282348036766052,1689600,561.9017944335938
68.99,68.99,0.03500843048095703,548,6700,0.6166858673095703,1715200,343.8100891113281
75.21,75.21,0.023725390434265137,547,6800,0.6196221709251404,1740800,297.2282409667969
