# {"t_start": 1587312778.4740298, "env_id": "CartPole-v0"} 
r,l,t
52.0,52,1.182119
13.0,13,1.195115
27.0,27,1.223245
17.0,17,1.241286
21.0,21,1.262522
11.0,11,1.274402
62.0,62,1.338087
12.0,12,1.349596
25.0,25,1.373615
33.0,33,1.466214
13.0,13,1.477843
44.0,44,1.520867
13.0,13,1.533103
49.0,49,1.578733
21.0,21,1.599752
15.0,15,1.613693
17.0,17,1.629268
15.0,15,1.643695
29.0,29,1.671233
24.0,24,1.698198
18.0,18,1.715071
27.0,27,1.742646
38.0,38,1.778564
17.0,17,1.795464
18.0,18,1.813384
30.0,30,1.842561
18.0,18,1.859391
12.0,12,1.870612
16.0,16,1.885245
13.0,13,1.897215
17.0,17,1.913629
33.0,33,1.947553
17.0,17,1.963258
13.0,13,1.975999
15.0,15,1.989973
25.0,25,2.013251
35.0,35,2.045062
30.0,30,2.072453
19.0,19,2.091814
32.0,32,2.122864
12.0,12,2.136058
17.0,17,2.153044
18.0,18,2.170864
16.0,16,2.186605
28.0,28,2.217345
18.0,18,2.233776
15.0,15,2.24783
12.0,12,2.260757
9.0,9,2.269535
15.0,15,2.283825
31.0,31,2.314325
78.0,78,2.388135
16.0,16,2.403654
35.0,35,2.435512
36.0,36,2.473699
13.0,13,2.486207
22.0,22,2.505863
33.0,33,2.537196
13.0,13,2.549242
11.0,11,2.560014
25.0,25,2.584189
54.0,54,2.633574
10.0,10,2.642827
13.0,13,2.655239
25.0,25,2.678921
18.0,18,2.700655
11.0,11,2.710412
13.0,13,2.723329
21.0,21,2.743392
14.0,14,2.75832
35.0,35,2.791831
16.0,16,2.808224
13.0,13,2.821317
44.0,44,2.862925
22.0,22,2.882426
13.0,13,2.89518
16.0,16,2.910557
20.0,20,2.930363
15.0,15,2.949323
15.0,15,2.963244
16.0,16,2.978107
16.0,16,2.993322
12.0,12,3.003778
13.0,13,3.016323
26.0,26,3.039897
22.0,22,3.060445
34.0,34,3.092567
24.0,24,3.117712
20.0,20,3.136599
26.0,26,3.161828
12.0,12,3.173503
24.0,24,3.200893
14.0,14,3.213745
44.0,44,3.255468
15.0,15,3.268883
13.0,13,3.280408
31.0,31,3.310392
21.0,21,3.329075
16.0,16,3.344982
35.0,35,3.377934
11.0,11,3.388009
28.0,28,3.413534
27.0,27,3.444899
11.0,11,3.456227
22.0,22,3.478209
17.0,17,3.49497
37.0,37,3.527358
14.0,14,3.540707
12.0,12,3.552165
20.0,20,3.572109
31.0,31,3.606997
26.0,26,3.63299
18.0,18,3.651018
35.0,35,3.685942
17.0,17,3.7057
35.0,35,3.739625
11.0,11,3.750059
21.0,21,3.770684
19.0,19,3.789344
44.0,44,3.833113
17.0,17,3.850528
27.0,27,3.876645
