eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
25.3,25.3,0.002878725528717041,550,1,0.6931470036506653,256,413.3590393066406
22.89,22.89,0.0010155439376831055,1017,100,0.6931412220001221,25600,399.40203857421875
24.75,24.75,0.009901940822601318,1021,200,0.6931121945381165,51200,214.77450561523438
23.92,23.92,-0.006831169128417969,1022,300,0.6929842233657837,76800,723.4759521484375
21.53,21.53,0.01077413558959961,1023,400,0.6926702260971069,102400,247.1262969970703
24.68,24.68,0.013320982456207275,1023,500,0.6920510530471802,128000,157.75018310546875
23.56,23.56,0.013473987579345703,1023,600,0.6914236545562744,153600,374.07025146484375
26.12,26.12,0.024234354496002197,1023,700,0.6895652413368225,179200,73.95694732666016
27.49,27.49,0.06262826919555664,1024,800,0.6809279918670654,204800,103.49415588378906
36.8,36.8,0.050792694091796875,1023,900,0.6648550033569336,230400,219.72335815429688
42.66,42.66,0.02368062734603882,1023,1000,0.6391746997833252,256000,266.9698791503906
57.32,57.32,0.07714283466339111,1023,1100,0.6444007158279419,281600,276.7693786621094
63.22,63.22,0.03970670700073242,1023,1200,0.6405316591262817,307200,462.4964294433594
74.15,74.15,0.03413575887680054,1022,1300,0.6395053267478943,332800,266.7559509277344
77.99,77.99,0.10564267635345459,1022,1400,0.5960231423377991,358400,299.5106506347656
103.51,103.51,0.21021121740341187,1022,1500,0.625765860080719,384000,308.30157470703125
90.06,90.06,0.1407930850982666,1022,1600,0.6113173961639404,409600,297.30029296875
107.46,107.46,0.22934365272521973,1022,1700,0.5913534760475159,435200,585.84521484375
99.12,99.12,0.06635487079620361,1022,1800,0.5794538259506226,460800,537.8543090820312
115.94,115.94,0.5147782266139984,1022,1900,0.604624330997467,486400,414.6584777832031
125.22,125.22,0.13846802711486816,1021,2000,0.5746172666549683,512000,441.2112731933594
128.2,128.2,0.09431886672973633,1021,2100,0.5939643383026123,537600,457.44696044921875
121.75,121.75,0.3663005232810974,1021,2200,0.5889115929603577,563200,409.0914001464844
123.48,123.48,0.06531912088394165,1021,2300,0.601424515247345,588800,792.7101440429688
139.33,139.33,0.22112584114074707,1021,2400,0.554564893245697,614400,350.8894348144531
133.05,133.05,0.35923224687576294,1021,2500,0.5946389436721802,640000,355.40374755859375
146.8,146.8,0.8196451365947723,1021,2600,0.5856070518493652,665600,142.38328552246094
143.28,143.28,0.8060891479253769,1021,2700,0.551094651222229,691200,154.9672088623047
159.1,159.1,0.8742147535085678,1021,2800,0.5426149368286133,716800,143.88092041015625
165.22,165.22,0.8545717149972916,1021,2900,0.5564042329788208,742400,133.45578002929688
159.96,159.96,0.9205429404973984,1021,3000,0.5841990113258362,768000,37.63786315917969
168.85,168.85,0.047685444355010986,1021,3100,0.6174686551094055,793600,575.1884155273438
178.58,178.58,0.5699295401573181,1021,3200,0.5777376294136047,819200,222.55699157714844
166.54,166.54,-0.12096023559570312,1021,3300,0.5338982939720154,844800,728.9851684570312
179.91,179.91,0.5052497386932373,1021,3400,0.5636798143386841,870400,274.6737976074219
186.96,186.96,0.737415075302124,1020,3500,0.5882551670074463,896000,190.45596313476562
189.91,189.91,0.43806779384613037,1020,3600,0.5670087337493896,921600,409.8485412597656
192.57,192.57,0.6789362132549286,1020,3700,0.5792028903961182,947200,350.45562744140625
