# {"t_start": 1587332353.4376647, "env_id": "CartPole-v0"} 
r,l,t
13.0,13,1.129111
18.0,18,1.146971
27.0,27,1.172063
10.0,10,1.18193
13.0,13,1.194765
30.0,30,1.224475
71.0,71,1.304246
14.0,14,1.317815
27.0,27,1.343209
30.0,30,1.371593
15.0,15,1.436008
13.0,13,1.446626
21.0,21,1.466416
9.0,9,1.475075
15.0,15,1.489366
27.0,27,1.51508
30.0,30,1.543694
32.0,32,1.574799
47.0,47,1.620772
12.0,12,1.63359
20.0,20,1.653036
12.0,12,1.663853
50.0,50,1.714865
25.0,25,1.74159
8.0,8,1.750161
17.0,17,1.767146
25.0,25,1.791336
14.0,14,1.804339
26.0,26,1.82717
26.0,26,1.849954
15.0,15,1.863298
23.0,23,1.883571
12.0,12,1.893581
11.0,11,1.902534
17.0,17,1.920815
16.0,16,1.93572
11.0,11,1.945905
37.0,37,1.978184
15.0,15,1.991549
19.0,19,2.008601
28.0,28,2.040704
16.0,16,2.058911
12.0,12,2.072787
9.0,9,2.083562
10.0,10,2.094369
20.0,20,2.116168
12.0,12,2.128822
12.0,12,2.139233
18.0,18,2.155906
14.0,14,2.167756
25.0,25,2.193667
12.0,12,2.203634
12.0,12,2.219639
19.0,19,2.235985
31.0,31,2.26294
12.0,12,2.2738
10.0,10,2.283049
12.0,12,2.293877
13.0,13,2.305459
31.0,31,2.333268
20.0,20,2.351759
24.0,24,2.374306
16.0,16,2.38921
13.0,13,2.401237
66.0,66,2.46874
18.0,18,2.486519
32.0,32,2.5163
37.0,37,2.551201
11.0,11,2.560221
25.0,25,2.580383
31.0,31,2.605495
25.0,25,2.62627
23.0,23,2.650697
17.0,17,2.666136
11.0,11,2.676099
16.0,16,2.69037
54.0,54,2.740138
25.0,25,2.76298
13.0,13,2.774747
20.0,20,2.792645
21.0,21,2.811812
48.0,48,2.855337
42.0,42,2.896838
28.0,28,2.923048
25.0,25,2.94583
21.0,21,2.963094
16.0,16,2.97758
56.0,56,3.031511
11.0,11,3.041851
26.0,26,3.065869
14.0,14,3.078868
11.0,11,3.089109
14.0,14,3.102039
39.0,39,3.142427
22.0,22,3.162688
17.0,17,3.179675
42.0,42,3.21941
15.0,15,3.233191
15.0,15,3.246695
15.0,15,3.260358
15.0,15,3.273916
16.0,16,3.288701
11.0,11,3.298749
44.0,44,3.337636
21.0,21,3.356026
29.0,29,3.387182
19.0,19,3.404487
17.0,17,3.420743
23.0,23,3.443645
18.0,18,3.461772
23.0,23,3.48447
32.0,32,3.515295
33.0,33,3.54696
24.0,24,3.570074
24.0,24,3.59286
13.0,13,3.605126
22.0,22,3.630091
10.0,10,3.638513
13.0,13,3.650983
11.0,11,3.661234
27.0,27,3.688294
11.0,11,3.699167
11.0,11,3.709609
10.0,10,3.718698
23.0,23,3.74028
26.0,26,3.765578
56.0,56,3.818668
23.0,23,3.840451
21.0,21,3.86518
23.0,23,3.887255
16.0,16,3.901093
11.0,11,3.911803
25.0,25,3.935599
10.0,10,3.945476
31.0,31,3.974314
19.0,19,3.991951
13.0,13,4.004204
13.0,13,4.016474
13.0,13,4.028747
20.0,20,4.047731
36.0,36,4.0817
12.0,12,4.093314
13.0,13,4.109523
10.0,10,4.119074
12.0,12,4.130756
34.0,34,4.162269
22.0,22,4.183416
18.0,18,4.200815
12.0,12,4.210515
19.0,19,4.227639
12.0,12,4.253484
10.0,10,4.263054
15.0,15,4.276789
10.0,10,4.286044
16.0,16,4.300857
29.0,29,4.32818
10.0,10,4.336784
16.0,16,4.352126
18.0,18,4.372082
9.0,9,4.381175
14.0,14,4.393356
23.0,23,4.414278
31.0,31,4.445121
54.0,54,4.501422
13.0,13,4.513663
26.0,26,4.537152
14.0,14,4.549931
17.0,17,4.563164
10.0,10,4.572177
21.0,21,4.590531
13.0,13,4.606088
15.0,15,4.620073
26.0,26,4.642267
20.0,20,4.660185
30.0,30,4.688044
10.0,10,4.69714
37.0,37,4.730794
12.0,12,4.741731
14.0,14,4.75466
21.0,21,4.774065
9.0,9,4.782376
24.0,24,4.805073
12.0,12,4.815926
57.0,57,4.870395
11.0,11,4.880681
14.0,14,4.894521
13.0,13,4.908589
15.0,15,4.920116
17.0,17,4.932867
13.0,13,4.942648
50.0,50,4.9799
16.0,16,4.991918
29.0,29,5.013758
13.0,13,5.023657
20.0,20,5.040864
18.0,18,5.061151
15.0,15,5.073059
15.0,15,5.086742
32.0,32,5.13076
15.0,15,5.148832
13.0,13,5.160285
17.0,17,5.177238
33.0,33,5.208239
23.0,23,5.232364
71.0,71,5.300492
15.0,15,5.314699
21.0,21,5.338334
12.0,12,5.349271
12.0,12,5.362438
19.0,19,5.391343
18.0,18,5.411902
26.0,26,5.445377
9.0,9,5.455002
13.0,13,5.472474
56.0,56,5.53841
13.0,13,5.551062
18.0,18,5.56672
25.0,25,5.589193
17.0,17,5.60928
12.0,12,5.621799
23.0,23,5.642432
17.0,17,5.657367
24.0,24,5.679617
13.0,13,5.692254
19.0,19,5.709301
12.0,12,5.720387
16.0,16,5.736031
9.0,9,5.744287
20.0,20,5.763433
15.0,15,5.777287
58.0,58,5.830205
23.0,23,5.855901
28.0,28,5.885771
36.0,36,5.919034
38.0,38,5.956376
21.0,21,5.977763
15.0,15,5.993139
16.0,16,6.008811
11.0,11,6.019274
14.0,14,6.029934
15.0,15,6.042888
20.0,20,6.05846
17.0,17,6.074463
15.0,15,6.088083
29.0,29,6.114608
28.0,28,6.142691
48.0,48,6.186793
15.0,15,6.200322
14.0,14,6.213478
11.0,11,6.223517
10.0,10,6.232375
39.0,39,6.270134
17.0,17,6.290853
15.0,15,6.305686
36.0,36,6.343153
22.0,22,6.362686
47.0,47,6.407224
13.0,13,6.419734
26.0,26,6.446369
18.0,18,6.463857
